,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.004,-0.047,0.04,0.052,0.041,0.067,0.05,-0.026,0.15,-0.049,0.044,-0.07,-0.084,0.019,0.008,0.034,0.024,-0.055,0.068,0.041,0.074,0.017,0.02,0.021,0.061,-0.025,0.188,-0.119,0.084,0.057,-0.005,-0.085,0.027,-0.098,0.064,0.012,0.1,-0.01,0.09,0.087,0.027,-0.008,0.151,0.019,0.088,-0.01,-0.095,0.028,0.011,0.02,0.008,0.032,0.134,0.048,0.052,0.043,0.021,0.024,0.048,-0.015,0.148,-0.15,0.072,0.025,0.029,-0.067,0.002
ctx-lh-caudalanteriorcingulate,,,-0.088,0.057,-0.056,-0.09,0.009,-0.178,-0.033,0.109,-0.159,0.101,-0.187,-0.126,-0.096,0.149,-0.082,-0.041,-0.08,0.007,0.297,-0.009,0.224,-0.053,-0.096,0.052,-0.036,0.04,-0.006,-0.04,0.013,-0.046,-0.073,-0.055,-0.027,-0.121,-0.027,0.123,-0.06,-0.079,0.017,-0.162,-0.016,0.064,-0.127,0.038,-0.135,-0.094,-0.127,0.156,-0.04,-0.067,0.026,0.082,0.318,0.016,0.222,-0.008,-0.09,0.043,-0.033,0.086,0.058,0.039,-0.044,-0.085,-0.102,-0.099
ctx-lh-caudalmiddlefrontal,,,,0.081,0.011,-0.002,0.068,-0.081,0.106,0.147,-0.121,0.048,0.038,-0.066,0.031,0.079,-0.065,-0.085,-0.056,-0.044,0.075,-0.014,-0.035,0.088,0.042,-0.002,-0.091,0.077,-0.059,-0.063,0.145,-0.08,-0.082,-0.14,-0.049,-0.112,-0.095,0.108,-0.018,0.045,0.034,-0.018,0.08,0.203,-0.129,0.063,0.022,-0.101,-0.023,0.059,-0.118,-0.083,-0.112,-0.03,0.099,0.007,-0.01,0.041,-0.025,-0.129,-0.094,0.058,-0.098,-0.096,0.096,-0.068,-0.058,-0.159
ctx-lh-cuneus,,,,,0.018,-0.042,0.116,0.02,0.076,0.054,0.054,-0.095,0.003,0.003,-0.02,-0.029,0.176,0.114,0.153,-0.004,0.002,0.2,0.066,0.063,0.13,0.187,0.049,0.016,-0.052,0.183,0.008,-0.016,0.031,0.118,0.027,0.087,0.11,-0.177,0.003,0.002,0.17,0.011,0.019,0.077,0.025,-0.126,0.01,0.04,0.108,-0.063,0.145,0.108,0.152,0.055,-0.011,0.211,0.019,0.055,0.037,0.146,0.02,-0.067,0.022,0.16,0.011,-0.025,0.036,0.031
ctx-lh-entorhinal,,,,,,0.056,0.019,0.017,0.055,0.077,0.016,0.02,-0.012,0.036,-0.003,0.091,-0.022,0.056,0.014,0.045,0.138,-0.051,0.081,0.03,0.029,-0.001,0.02,0.027,0.137,0.03,-0.071,0.049,0.044,0.047,0.026,0.03,0.067,0.034,0.114,0.061,0.051,0.025,0.047,0.069,0.063,0.038,-0.021,0.096,-0.033,0.054,-0.154,0.018,-0.024,0.081,0.08,0.04,0.03,0.049,0.086,-0.003,0.069,0.009,0.155,0.001,-0.034,0.114,0.011,0.049
ctx-lh-fusiform,,,,,,,-0.03,-0.031,-0.026,-0.087,0.032,-0.113,0.016,0.029,-0.054,0.057,-0.011,0.069,0.055,-0.037,0.025,-0.013,0.036,-0.016,0.023,0.047,0.018,-0.109,0.04,0.054,-0.047,0.006,0.064,0.016,-0.026,-0.038,0.052,-0.035,0.068,-0.095,0.031,0.011,-0.061,-0.083,0.073,-0.061,0.028,0.035,0.046,-0.013,-0.014,0.123,0.055,0.018,0.034,0.036,0.03,0.009,0.053,0.075,0.069,-0.138,-0.004,0.066,-0.022,0.074,0.022,-0.043
ctx-lh-inferiorparietal,,,,,,,,-0.061,0.06,0.122,-0.055,0.044,-0.013,-0.035,0.049,0.119,0.063,0.049,0.038,0.016,0.057,0.065,0.07,0.052,0.08,0.039,0.023,0.173,0.006,0.041,0.075,-0.089,0.085,0.027,0.062,-0.031,0.023,0.161,0.029,0.052,-0.001,-0.01,0.084,0.143,0.021,0.118,-0.037,-0.024,0.007,0.107,-0.052,0.126,0.083,0.015,0.102,0.101,0.083,0.03,-0.013,-0.007,0.001,0.147,0.017,-0.007,0.074,-0.036,0.058,-0.006
ctx-lh-inferiortemporal,,,,,,,,,-0.001,0.061,-0.111,-0.015,-0.027,-0.021,-0.052,0.02,-0.157,-0.057,-0.085,-0.03,-0.008,-0.118,-0.039,-0.02,0.019,-0.151,-0.078,-0.104,0.021,-0.136,-0.047,-0.045,-0.068,-0.156,-0.06,-0.101,-0.075,0.008,0.037,0.01,-0.072,-0.154,-0.07,0.062,-0.067,0.031,-0.0,-0.032,0.018,-0.018,-0.256,-0.047,-0.076,-0.009,0.002,-0.078,-0.045,-0.022,-0.008,-0.138,-0.061,-0.111,-0.041,-0.135,-0.035,-0.019,-0.01,-0.166
ctx-lh-isthmuscingulate,,,,,,,,,,0.082,-0.023,0.025,-0.066,0.007,0.052,-0.028,0.089,0.088,0.059,-0.046,-0.104,-0.04,-0.051,0.051,0.011,0.072,0.046,0.052,-0.089,-0.032,0.058,-0.049,-0.05,-0.035,0.084,-0.088,0.039,0.022,-0.045,0.015,0.03,-0.023,-0.082,0.122,-0.018,0.045,-0.144,0.014,0.038,-0.052,-0.04,0.048,0.072,-0.069,-0.088,-0.033,-0.091,0.016,-0.124,-0.019,-0.01,0.034,-0.007,-0.053,0.106,0.014,-0.077,-0.105
ctx-lh-lateraloccipital,,,,,,,,,,,0.036,0.063,0.012,0.112,0.038,0.172,0.099,0.093,0.126,0.08,0.117,0.172,0.104,0.152,0.161,0.188,0.107,0.032,0.094,0.187,0.004,0.029,0.071,0.09,0.139,0.095,0.151,0.116,0.026,-0.069,0.164,0.037,0.044,-0.026,0.101,0.114,0.046,0.153,0.082,0.09,0.123,0.162,0.187,0.131,0.122,0.186,0.166,0.169,0.103,0.21,0.187,-0.025,0.056,0.155,0.103,0.05,0.083,0.042
