,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.1,0.15,-0.12,-0.052,-0.024,0.138,0.124,0.199,-0.171,0.003,-0.123,-0.059,-0.053,-0.005,-0.011,-0.055,-0.025,-0.082,0.138,-0.046,0.017,0.039,0.103,-0.124,0.139,0.107,0.056,-0.204,0.006,-0.049,0.074,-0.092,-0.074,-0.194,0.066,0.068,-0.103,-0.189,-0.08,0.03,-0.026,0.026,-0.193,0.097,-0.046,-0.123,0.004,-0.093,-0.093,0.219,-0.008,0.144,0.088,0.03,-0.038,-0.015,0.07,-0.02,0.175,0.159,-0.011,-0.107,0.164,-0.009,0.117,-0.138,0.045
ctx-lh-caudalanteriorcingulate,,,0.177,-0.019,-0.04,-0.106,0.107,0.034,0.138,-0.074,0.107,-0.027,0.154,0.118,-0.224,-0.034,0.168,0.122,0.166,0.007,0.01,0.051,-0.145,0.196,0.184,0.067,0.151,-0.106,0.035,-0.042,0.048,-0.185,0.132,0.033,-0.033,0.013,0.242,0.006,-0.112,-0.139,0.181,0.037,0.188,-0.084,0.117,-0.271,0.161,0.146,-0.054,-0.014,0.06,0.123,0.086,-0.041,-0.043,0.084,0.031,0.198,0.122,0.294,0.173,-0.122,-0.094,-0.136,0.221,0.003,-0.137,0.025
ctx-lh-caudalmiddlefrontal,,,,0.082,0.098,0.063,-0.237,-0.025,-0.13,0.028,0.145,0.161,0.006,-0.079,-0.239,-0.017,0.06,-0.089,0.008,0.209,0.134,0.24,0.088,-0.021,0.157,-0.027,0.031,-0.035,0.091,0.098,0.056,0.032,0.247,0.293,0.05,0.205,0.128,0.065,0.114,0.146,-0.129,0.101,-0.046,-0.011,0.113,0.095,-0.009,0.033,-0.008,0.082,0.172,0.084,0.12,0.112,0.051,0.355,0.131,0.035,0.178,0.037,0.091,0.096,0.193,0.311,0.139,0.106,0.118,0.121
ctx-lh-cuneus,,,,,0.1,-0.111,0.11,0.137,0.013,0.06,-0.105,-0.036,-0.246,0.126,0.172,-0.122,-0.053,0.004,-0.048,-0.032,-0.232,0.07,-0.081,-0.066,-0.086,-0.054,-0.048,-0.095,-0.114,0.192,-0.077,-0.029,-0.128,-0.194,0.023,-0.028,0.09,-0.023,0.038,-0.109,0.226,-0.018,-0.086,0.078,-0.028,-0.137,-0.129,-0.014,-0.059,-0.083,-0.028,0.182,0.022,-0.071,-0.201,0.017,-0.156,-0.049,-0.09,0.059,-0.067,-0.058,-0.217,-0.075,-0.226,-0.076,-0.1,-0.131
ctx-lh-entorhinal,,,,,,0.006,0.161,-0.11,0.06,0.126,-0.07,0.067,-0.09,-0.103,0.052,0.087,-0.097,-0.067,-0.1,0.137,0.152,-0.006,0.136,0.155,-0.126,-0.033,0.015,0.222,-0.065,-0.094,0.043,-0.142,0.012,-0.138,-0.081,-0.043,0.042,0.075,-0.077,-0.186,0.12,-0.139,0.062,0.168,-0.138,0.098,-0.101,-0.127,0.001,0.104,0.023,-0.179,-0.022,0.224,0.156,-0.022,0.212,0.19,-0.171,0.017,-0.105,0.198,-0.11,0.022,0.071,-0.075,-0.027,-0.247
ctx-lh-fusiform,,,,,,,0.05,-0.096,0.041,0.11,-0.15,-0.022,-0.114,-0.007,0.191,-0.026,0.048,-0.07,-0.038,-0.152,-0.224,-0.109,-0.134,-0.099,-0.188,0.21,0.026,-0.209,-0.043,-0.186,-0.028,0.047,-0.14,-0.296,-0.075,-0.069,0.093,-0.045,0.031,0.089,0.055,0.027,0.054,0.118,-0.176,0.13,-0.009,0.095,0.07,-0.207,-0.115,0.069,-0.099,-0.118,-0.213,-0.2,-0.136,-0.288,-0.296,0.038,-0.057,-0.025,-0.052,-0.244,-0.017,-0.08,-0.03,-0.216
ctx-lh-inferiorparietal,,,,,,,,-0.032,-0.072,0.152,0.091,0.05,-0.325,-0.075,-0.165,0.117,-0.008,-0.123,0.026,0.208,-0.005,0.037,0.091,-0.064,-0.092,-0.135,-0.142,0.207,0.091,0.059,-0.164,-0.008,0.039,0.09,-0.084,0.079,-0.069,0.171,0.117,0.168,0.04,0.026,-0.129,0.256,-0.02,0.322,-0.336,-0.05,-0.085,0.018,0.113,-0.01,-0.022,0.329,-0.049,0.156,0.108,-0.068,-0.114,-0.118,-0.091,0.214,0.032,0.253,-0.2,-0.058,0.048,0.009
ctx-lh-inferiortemporal,,,,,,,,,0.069,0.18,-0.025,0.111,-0.034,0.13,0.044,-0.033,0.065,-0.066,-0.085,-0.011,-0.111,-0.013,-0.032,-0.114,-0.078,0.135,0.017,-0.189,0.183,-0.11,0.177,0.111,0.089,-0.075,-0.08,-0.013,-0.063,0.148,0.017,-0.002,-0.153,-0.068,0.108,0.164,-0.111,0.241,-0.009,-0.032,0.068,-0.059,-0.046,-0.037,0.059,0.049,-0.037,-0.039,0.103,-0.226,-0.23,-0.078,-0.061,0.012,0.077,-0.048,0.096,-0.041,0.103,-0.015
ctx-lh-isthmuscingulate,,,,,,,,,,0.001,-0.062,-0.036,-0.213,-0.044,-0.17,0.052,0.006,-0.116,0.195,0.058,-0.133,-0.027,0.077,-0.227,-0.118,-0.012,-0.06,-0.049,0.085,0.208,-0.21,0.072,0.015,0.039,0.033,0.144,0.028,-0.055,-0.035,0.055,0.108,-0.046,-0.231,0.016,-0.025,0.103,-0.224,-0.022,-0.115,-0.008,0.137,0.066,0.198,0.154,-0.006,0.027,0.036,-0.098,-0.067,0.129,0.115,0.011,0.031,0.117,-0.121,0.031,-0.076,-0.091
ctx-lh-lateraloccipital,,,,,,,,,,,-0.1,-0.001,-0.167,0.188,0.23,-0.083,0.102,0.117,0.042,-0.06,-0.194,0.013,-0.07,-0.123,-0.227,0.053,-0.044,-0.174,-0.024,0.001,0.016,0.146,-0.088,-0.24,-0.167,0.048,0.103,-0.207,0.139,0.002,0.126,0.047,-0.141,0.062,-0.115,0.034,-0.218,0.112,0.053,-0.236,-0.089,0.163,-0.061,-0.11,-0.142,-0.074,-0.076,-0.25,-0.118,-0.039,-0.091,-0.001,-0.065,-0.128,-0.092,0.057,0.127,-0.078
