,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.039,0.047,-0.067,-0.089,-0.206,-0.021,-0.12,-0.102,-0.081,-0.084,-0.13,-0.167,-0.059,-0.198,-0.084,0.014,-0.022,-0.038,-0.003,-0.1,0.023,-0.106,-0.043,-0.031,0.025,-0.07,-0.046,-0.158,-0.009,-0.028,-0.182,-0.123,-0.049,-0.098,-0.056,-0.006,-0.058,-0.154,-0.216,-0.051,-0.14,-0.123,-0.037,-0.004,-0.158,-0.145,-0.095,-0.255,-0.147,0.001,0.022,0.008,0.022,-0.095,0.001,-0.057,-0.058,-0.003,0.037,-0.086,-0.07,-0.198,-0.08,-0.043,-0.137,-0.074,-0.068
ctx-lh-caudalanteriorcingulate,,,-0.056,-0.005,-0.001,-0.031,-0.101,-0.046,-0.175,0.006,-0.077,-0.049,-0.123,-0.09,-0.138,0.199,-0.162,-0.035,-0.086,-0.115,0.074,-0.103,0.046,-0.062,-0.086,-0.018,-0.055,0.056,-0.031,-0.097,-0.129,-0.074,-0.061,-0.15,-0.065,-0.056,-0.055,-0.077,-0.114,-0.054,-0.11,-0.106,-0.18,-0.061,-0.007,-0.046,-0.075,-0.083,-0.109,0.145,-0.103,-0.045,-0.076,-0.123,0.079,-0.099,0.042,-0.097,-0.045,-0.047,-0.026,0.042,-0.028,-0.097,-0.083,-0.066,-0.047,-0.123
ctx-lh-caudalmiddlefrontal,,,,0.01,0.049,-0.053,0.016,-0.07,0.042,0.024,0.01,-0.063,0.058,0.102,-0.084,0.039,0.042,0.04,0.009,-0.015,0.003,0.048,-0.065,-0.021,0.051,0.062,0.097,-0.024,0.058,0.007,-0.013,0.081,-0.057,-0.051,0.027,-0.08,0.041,0.013,-0.021,-0.087,0.021,-0.042,0.063,-0.001,0.069,-0.063,0.044,0.086,-0.108,-0.058,-0.066,0.111,0.057,-0.01,0.026,0.03,-0.033,-0.035,0.045,0.063,0.054,-0.027,0.046,-0.11,-0.08,0.008,-0.025,-0.075
ctx-lh-cuneus,,,,,-0.0,-0.072,-0.001,-0.006,-0.01,0.033,-0.071,0.046,-0.077,-0.021,-0.072,-0.068,-0.116,-0.019,-0.061,0.201,-0.056,0.019,-0.068,-0.044,0.039,0.007,0.019,-0.015,-0.076,-0.017,0.081,-0.109,0.01,-0.087,-0.162,-0.007,-0.018,-0.106,-0.12,-0.13,-0.024,-0.065,-0.031,-0.003,-0.028,-0.014,-0.004,-0.057,-0.029,-0.103,-0.077,-0.012,-0.078,0.135,-0.044,0.01,-0.055,-0.028,0.056,0.004,0.015,-0.019,-0.112,-0.053,-0.003,-0.1,0.009,-0.038
ctx-lh-entorhinal,,,,,,-0.075,-0.003,-0.124,-0.043,-0.027,-0.02,-0.008,-0.001,-0.03,-0.174,0.029,-0.028,0.026,0.007,0.015,0.032,-0.021,-0.04,0.017,0.099,0.088,-0.007,0.055,-0.043,-0.01,0.013,-0.169,-0.076,-0.004,-0.051,-0.005,0.071,0.019,-0.12,-0.076,0.024,-0.075,-0.023,-0.042,-0.02,-0.048,-0.025,-0.016,-0.144,0.009,-0.03,-0.006,0.006,-0.014,0.002,0.009,-0.054,0.022,0.106,0.1,0.026,0.031,-0.072,-0.004,-0.086,-0.084,-0.085,-0.043
ctx-lh-fusiform,,,,,,,-0.07,-0.078,-0.131,0.096,-0.132,-0.083,-0.107,-0.101,-0.108,-0.061,-0.151,-0.056,-0.117,0.043,-0.106,-0.06,-0.121,-0.1,0.02,-0.034,-0.098,-0.021,-0.174,-0.1,-0.039,-0.125,-0.129,-0.088,-0.197,-0.077,-0.063,-0.038,-0.199,-0.053,-0.065,-0.092,-0.093,0.122,-0.095,-0.073,-0.11,-0.107,-0.109,-0.061,-0.104,-0.056,-0.122,0.058,-0.094,-0.04,-0.095,-0.086,0.027,-0.051,-0.074,-0.028,-0.197,-0.112,-0.082,-0.174,-0.087,-0.104
ctx-lh-inferiorparietal,,,,,,,,-0.075,0.04,0.007,-0.135,-0.077,0.012,-0.085,-0.067,-0.035,-0.042,-0.055,-0.085,-0.021,-0.037,-0.069,-0.101,-0.062,-0.024,0.027,-0.075,-0.013,-0.057,-0.07,-0.015,-0.01,-0.031,-0.086,0.01,-0.133,0.013,0.016,-0.072,-0.086,0.025,-0.058,0.061,-0.004,-0.014,-0.062,-0.039,-0.016,-0.068,-0.104,-0.087,0.048,-0.017,0.001,-0.014,-0.04,-0.073,-0.062,-0.037,0.044,-0.054,-0.04,-0.039,-0.109,-0.045,-0.09,-0.048,-0.1
ctx-lh-inferiortemporal,,,,,,,,,-0.046,-0.041,-0.025,-0.068,0.055,-0.053,-0.102,0.0,-0.035,-0.038,-0.097,0.022,-0.043,-0.06,-0.033,-0.101,0.048,-0.061,-0.027,0.009,-0.013,-0.087,-0.032,-0.052,-0.051,-0.037,-0.081,-0.079,-0.053,0.01,-0.11,-0.043,-0.072,-0.07,-0.041,-0.03,-0.007,-0.053,-0.04,-0.043,-0.069,-0.017,-0.07,-0.035,-0.034,0.056,0.01,-0.058,0.0,-0.098,-0.01,-0.052,-0.031,0.003,-0.042,-0.094,-0.103,-0.066,-0.01,-0.056
ctx-lh-isthmuscingulate,,,,,,,,,,-0.018,-0.232,-0.113,-0.06,-0.098,0.04,-0.107,-0.087,-0.022,-0.111,-0.111,-0.103,-0.189,-0.18,-0.051,-0.075,0.001,-0.099,-0.05,-0.112,-0.114,-0.078,-0.024,-0.105,-0.188,-0.109,-0.176,-0.01,-0.022,-0.094,-0.097,0.082,-0.06,-0.027,-0.028,-0.053,-0.093,-0.009,-0.059,0.05,-0.179,-0.153,0.037,-0.1,-0.068,-0.103,-0.116,-0.176,-0.055,-0.059,0.028,-0.077,-0.075,-0.106,-0.144,-0.078,-0.085,-0.147,-0.204
ctx-lh-lateraloccipital,,,,,,,,,,,-0.136,0.032,-0.06,-0.02,-0.02,-0.065,-0.092,-0.097,-0.07,0.096,-0.039,0.01,-0.018,-0.013,0.03,0.002,-0.002,0.002,-0.086,-0.013,-0.091,-0.115,-0.085,0.002,-0.095,-0.052,-0.027,0.104,-0.129,0.019,-0.031,-0.124,-0.015,0.04,-0.104,0.068,-0.064,-0.057,-0.006,-0.091,-0.032,-0.086,-0.057,0.13,-0.036,-0.006,-0.013,-0.02,0.019,-0.058,-0.039,-0.005,-0.092,-0.086,-0.106,-0.087,-0.057,-0.055
