,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.052,0.009,-0.077,-0.162,-0.047,-0.067,-0.059,-0.015,0.024,-0.12,-0.117,-0.021,-0.033,-0.033,-0.055,-0.033,0.018,0.028,-0.023,-0.124,-0.154,-0.08,-0.086,-0.064,-0.06,-0.124,-0.13,-0.162,-0.103,-0.0,0.023,-0.05,-0.039
ctx-lh-frontal,,,0.083,-0.065,-0.167,-0.037,0.041,0.001,-0.017,0.137,-0.008,-0.08,0.031,-0.042,-0.088,0.034,-0.017,0.149,0.087,-0.031,-0.081,-0.095,-0.049,0.059,0.025,-0.025,0.024,-0.054,-0.179,-0.035,0.035,-0.02,0.048,-0.053
ctx-lh-inter_precentral,,,,-0.1,-0.183,-0.041,-0.06,-0.117,-0.044,-0.092,-0.128,-0.143,-0.065,-0.118,-0.102,-0.062,-0.011,0.123,0.115,-0.043,-0.101,-0.12,-0.059,-0.05,-0.11,-0.036,-0.097,-0.104,-0.132,-0.135,-0.006,-0.021,-0.074,0.029
ctx-lh-precentral,,,,,-0.015,-0.019,-0.118,-0.187,-0.028,-0.126,-0.101,-0.053,-0.061,-0.138,-0.037,-0.142,0.037,-0.054,-0.018,-0.064,-0.168,-0.154,-0.158,-0.144,-0.207,-0.068,-0.141,-0.13,0.012,-0.054,-0.121,-0.015,-0.153,0.055
ctx-lh-postcentral,,,,,,-0.194,-0.166,-0.302,-0.073,-0.209,-0.176,-0.054,0.023,-0.186,-0.029,-0.182,-0.029,-0.094,-0.104,-0.126,-0.033,-0.065,-0.178,-0.21,-0.313,-0.13,-0.208,-0.219,-0.008,-0.024,-0.157,-0.009,-0.166,-0.016
ctx-lh-inter_postcentral,,,,,,,-0.032,-0.194,-0.013,-0.035,-0.124,0.005,0.053,-0.087,-0.018,-0.086,0.064,0.015,0.05,0.023,-0.111,-0.195,-0.091,-0.092,-0.203,-0.032,-0.077,-0.141,-0.005,-0.089,0.006,0.1,-0.099,0.06
ctx-lh-parietal,,,,,,,,-0.163,-0.067,-0.106,-0.085,0.019,-0.17,-0.078,-0.069,-0.093,0.006,0.083,0.224,-0.001,-0.076,-0.112,-0.067,-0.02,-0.112,-0.062,-0.03,-0.092,-0.063,-0.115,0.047,0.131,-0.084,0.055
ctx-lh-visuopsychic,,,,,,,,,0.055,-0.131,-0.15,-0.074,-0.136,-0.041,-0.024,-0.079,-0.061,0.045,0.081,-0.063,-0.187,-0.258,-0.208,-0.153,0.0,0.19,-0.127,-0.208,-0.135,-0.181,0.038,0.161,-0.05,-0.017
ctx-lh-visuosensory,,,,,,,,,,-0.039,-0.056,-0.06,-0.118,-0.071,-0.047,-0.134,-0.103,0.024,0.04,-0.0,-0.003,-0.058,0.007,-0.081,0.047,0.01,-0.035,-0.064,-0.11,-0.127,-0.058,0.008,-0.105,-0.026
ctx-lh-temporal,,,,,,,,,,,-0.146,-0.091,-0.108,-0.023,-0.03,0.044,-0.053,0.118,0.132,-0.082,-0.15,-0.166,-0.13,-0.117,-0.128,-0.046,-0.15,-0.213,-0.157,-0.105,0.035,0.062,-0.003,-0.063
