,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.221,0.09,0.027,0.017,-0.013,0.145,-0.123,-0.087,-0.053,-0.248,-0.037,-0.041,-0.02,0.033,-0.052,0.02,0.031,0.104,-0.021,0.022,0.139,-0.006,0.139,-0.087,0.016,-0.106,-0.245,-0.041,-0.068,0.099,0.043,-0.002,0.073
ctx-lh-frontal,,,-0.178,-0.073,-0.093,-0.192,-0.277,-0.249,-0.153,-0.215,-0.215,-0.133,0.006,-0.026,0.082,-0.012,-0.139,0.209,-0.173,-0.265,-0.003,0.073,0.038,-0.291,-0.266,-0.063,-0.292,-0.219,-0.046,-0.279,-0.079,0.039,-0.034,-0.133
ctx-lh-inter_precentral,,,,-0.139,-0.222,-0.297,-0.385,-0.359,-0.183,-0.271,-0.352,-0.387,-0.007,-0.278,-0.175,-0.233,-0.118,0.049,-0.258,-0.282,-0.247,-0.141,-0.283,-0.409,-0.326,-0.212,-0.536,-0.448,-0.308,-0.121,-0.347,0.002,-0.155,-0.282
ctx-lh-precentral,,,,,-0.37,-0.261,-0.326,-0.394,-0.237,-0.162,-0.236,-0.104,0.266,0.015,0.035,-0.006,0.01,0.102,-0.169,-0.006,-0.463,-0.361,-0.409,-0.463,-0.384,-0.223,-0.352,-0.275,0.135,-0.031,-0.129,-0.135,-0.038,0.014
ctx-lh-postcentral,,,,,,-0.411,-0.224,-0.45,-0.311,-0.232,-0.348,-0.314,0.115,-0.048,-0.208,-0.193,-0.041,0.013,-0.118,-0.008,-0.298,-0.462,-0.487,-0.343,-0.615,-0.447,-0.465,-0.422,-0.16,-0.015,-0.189,-0.185,-0.169,-0.07
ctx-lh-inter_postcentral,,,,,,,-0.291,-0.554,-0.434,-0.401,-0.197,-0.216,0.042,-0.131,-0.163,-0.242,-0.086,0.07,-0.233,-0.14,-0.404,-0.329,-0.327,-0.422,-0.451,-0.39,-0.449,-0.348,-0.118,-0.093,-0.15,-0.099,-0.185,-0.001
ctx-lh-parietal,,,,,,,,-0.289,-0.28,-0.254,-0.34,-0.204,0.087,0.183,0.069,0.105,-0.244,0.172,-0.346,-0.456,-0.336,-0.153,-0.215,-0.193,-0.323,-0.327,-0.214,-0.294,-0.11,0.06,0.078,0.254,0.136,-0.226
ctx-lh-visuopsychic,,,,,,,,,0.079,-0.276,-0.34,-0.256,-0.147,-0.209,0.096,-0.376,-0.127,-0.149,-0.332,-0.309,-0.424,-0.313,-0.412,-0.253,-0.148,-0.103,-0.457,-0.468,-0.336,-0.117,-0.17,0.081,-0.169,-0.264
ctx-lh-visuosensory,,,,,,,,,,-0.258,-0.304,-0.24,-0.105,-0.215,0.05,-0.336,-0.119,-0.109,-0.202,-0.09,-0.238,-0.096,-0.331,-0.269,-0.129,-0.239,-0.467,-0.305,-0.189,-0.016,-0.193,0.071,-0.205,-0.082
ctx-lh-temporal,,,,,,,,,,,-0.096,-0.15,-0.087,-0.208,-0.022,-0.277,-0.436,-0.043,-0.22,-0.4,-0.176,-0.015,-0.253,-0.212,-0.309,-0.267,-0.208,-0.175,-0.179,-0.161,-0.161,0.187,-0.036,-0.327
ctx-lh-audiopsychic,,,,,,,,,,,,0.131,-0.196,-0.228,-0.178,-0.303,-0.422,-0.304,-0.287,-0.354,-0.295,-0.305,-0.243,-0.326,-0.283,-0.292,-0.311,-0.372,-0.08,-0.051,-0.396,-0.017,-0.115,-0.425
ctx-lh-audiosensory,,,,,,,,,,,,,-0.151,-0.25,-0.315,-0.255,-0.436,-0.085,-0.165,-0.321,-0.161,-0.176,-0.143,-0.198,-0.262,-0.202,-0.17,-0.154,-0.047,-0.106,-0.158,-0.079,-0.152,-0.438
ctx-lh-olfactory,,,,,,,,,,,,,,-0.025,-0.051,0.041,-0.3,-0.1,-0.09,-0.17,0.191,0.128,0.018,0.046,-0.001,-0.202,-0.013,-0.42,-0.329,-0.116,-0.004,-0.166,0.038,-0.201
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.11,-0.009,-0.197,-0.053,0.051,-0.27,-0.054,-0.068,-0.037,0.121,-0.365,-0.368,-0.171,-0.251,-0.32,-0.148,0.202,0.092,0.098,-0.108
ctx-lh-limbicB,,,,,,,,,,,,,,,,0.171,-0.028,0.064,0.099,-0.032,0.014,0.065,-0.201,0.088,0.057,0.025,0.013,-0.148,-0.18,0.097,-0.011,-0.03,0.187,-0.039
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.362,-0.045,-0.061,-0.278,-0.133,-0.038,-0.202,-0.006,-0.356,-0.371,-0.177,-0.184,-0.342,-0.076,-0.006,0.281,0.01,-0.188
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.112,-0.196,-0.046,0.104,0.109,0.098,-0.206,-0.111,-0.204,-0.568,-0.582,-0.378,-0.038,-0.295,0.037,-0.299,-0.054
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.189,-0.078,0.073,0.093,0.075,0.167,-0.227,-0.169,-0.063,-0.174,-0.062,-0.14,0.084,0.018,0.099,0.041
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.265,-0.054,0.072,-0.032,-0.227,-0.311,-0.184,-0.205,-0.189,-0.022,-0.203,-0.028,0.008,0.134,-0.122
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.093,0.034,0.004,-0.4,-0.332,-0.125,-0.575,-0.541,-0.14,-0.197,-0.345,-0.134,-0.194,-0.102
