,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.188,0.184,-0.031,0.106,0.062,0.208,-0.04,-0.129,-0.135,-0.157,0.089,-0.037,-0.044,-0.017,-0.043,0.111,0.001,0.114,0.057,-0.03,0.016,-0.03,0.233,-0.001,0.074,-0.176,-0.121,-0.002,-0.056,0.06,0.043,-0.066,0.134
ctx-lh-frontal,,,-0.048,-0.019,0.135,0.004,-0.131,0.059,0.115,-0.109,0.062,0.001,0.103,0.03,0.152,0.177,0.004,0.193,0.04,-0.048,0.107,0.104,0.196,-0.115,0.055,0.287,0.016,0.223,0.077,-0.238,-0.056,0.003,0.046,0.031
ctx-lh-inter_precentral,,,,-0.118,-0.086,-0.108,-0.205,0.022,0.109,0.035,-0.071,-0.323,0.076,-0.223,-0.202,-0.028,0.058,0.156,-0.069,-0.071,-0.189,-0.184,-0.175,-0.125,0.051,0.192,-0.234,-0.142,-0.301,-0.033,-0.26,-0.063,-0.038,-0.094
ctx-lh-precentral,,,,,-0.365,-0.156,-0.293,-0.327,-0.128,-0.103,-0.097,-0.056,0.329,0.051,-0.025,0.133,0.17,0.079,-0.108,0.016,-0.458,-0.396,-0.422,-0.44,-0.304,-0.055,-0.422,-0.126,0.151,0.089,-0.052,-0.187,-0.001,0.179
ctx-lh-postcentral,,,,,,-0.35,-0.079,-0.289,-0.114,-0.032,-0.142,-0.182,0.158,0.119,-0.287,-0.026,0.151,0.109,0.077,0.076,-0.241,-0.498,-0.468,-0.228,-0.405,-0.228,-0.424,-0.297,-0.123,0.122,-0.058,-0.247,-0.127,0.11
ctx-lh-inter_postcentral,,,,,,,-0.119,-0.349,-0.236,-0.23,0.064,-0.037,0.158,0.044,-0.192,-0.116,0.209,0.176,-0.049,0.074,-0.314,-0.293,-0.323,-0.298,-0.2,-0.125,-0.23,-0.099,-0.008,-0.005,0.023,-0.045,-0.097,0.245
ctx-lh-parietal,,,,,,,,-0.067,-0.156,-0.068,0.013,0.005,0.3,0.369,0.083,0.281,0.07,0.302,-0.176,-0.253,-0.292,-0.222,-0.117,-0.102,-0.077,-0.036,0.119,0.163,0.038,0.292,0.259,0.259,0.207,0.013
ctx-lh-visuopsychic,,,,,,,,,0.243,-0.004,-0.073,0.047,-0.021,-0.025,0.075,-0.255,0.288,-0.089,-0.081,0.13,-0.297,-0.219,-0.24,-0.003,0.068,0.076,-0.219,-0.166,-0.204,0.003,0.047,0.053,-0.141,0.016
ctx-lh-visuosensory,,,,,,,,,,-0.164,-0.155,-0.018,-0.086,-0.188,-0.032,-0.264,0.195,-0.143,0.042,0.281,-0.112,0.016,-0.173,-0.059,-0.023,-0.165,-0.416,-0.152,-0.085,0.014,-0.132,0.024,-0.206,0.101
ctx-lh-temporal,,,,,,,,,,,0.229,0.138,-0.047,-0.118,-0.136,-0.2,-0.155,-0.175,0.055,-0.048,-0.053,-0.051,-0.058,-0.002,-0.105,-0.161,0.023,0.183,-0.217,-0.125,-0.081,0.123,-0.051,-0.162
