,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.321,0.064,-0.126,0.069,-0.343,0.085,-0.126,-0.079,-0.147,0.09,-0.234,0.08,-0.054,-0.075,-0.148,0.261,0.213,0.208,-0.111,-0.306,-0.016,-0.271,-0.046,0.188,0.108,-0.008,-0.027,-0.109,-0.22,0.106,-0.076,-0.272,-0.209,-0.258,-0.258,-0.194,-0.083,-0.139,-0.315,-0.147,-0.197,-0.257,-0.13,-0.177,-0.202,-0.025,-0.188,-0.117,-0.185,-0.238,-0.056,-0.253,-0.119,-0.302,-0.262,-0.286,-0.187,0.203,-0.273,-0.235,-0.102,-0.22,-0.354,-0.139,-0.106,-0.256,-0.264
ctx-lh-caudalanteriorcingulate,,,-0.248,0.198,-0.121,-0.12,-0.171,-0.157,-0.176,-0.073,-0.116,0.027,-0.057,-0.318,-0.128,-0.131,-0.042,-0.02,-0.151,0.084,0.015,0.005,0.025,-0.04,-0.001,-0.108,-0.158,0.29,-0.302,-0.144,-0.139,-0.242,-0.345,-0.061,-0.251,-0.081,-0.125,0.11,-0.166,-0.165,-0.181,-0.259,-0.186,-0.06,-0.081,0.029,-0.196,-0.33,-0.092,-0.01,-0.093,-0.293,-0.316,0.17,-0.103,0.029,0.016,-0.092,-0.067,-0.221,-0.111,0.187,-0.209,-0.143,-0.366,-0.141,-0.081,0.046
ctx-lh-caudalmiddlefrontal,,,,0.061,0.13,-0.01,0.209,0.106,0.154,-0.067,0.125,0.002,0.209,0.278,0.0,0.029,0.041,0.237,0.22,0.036,-0.092,0.158,-0.155,0.089,0.059,0.182,0.089,-0.005,0.098,-0.072,0.068,0.117,-0.182,-0.13,-0.086,-0.294,-0.394,0.05,-0.036,-0.14,0.027,-0.053,0.025,-0.02,-0.064,-0.01,0.155,0.005,-0.059,-0.145,-0.213,0.092,-0.018,0.043,-0.217,-0.16,-0.217,-0.007,0.265,-0.189,-0.127,-0.066,-0.031,-0.325,-0.166,0.183,-0.12,-0.195
ctx-lh-cuneus,,,,,0.251,0.306,0.142,0.122,-0.208,0.25,0.042,0.366,-0.088,-0.008,0.143,-0.303,0.238,0.042,0.005,0.529,-0.227,0.159,0.079,-0.072,0.069,0.16,0.137,0.36,-0.041,0.012,-0.064,-0.051,-0.035,0.066,-0.141,0.171,0.047,0.435,-0.004,0.332,0.075,0.029,-0.175,0.073,-0.026,0.513,-0.162,-0.098,0.105,-0.15,-0.071,-0.279,-0.012,0.639,-0.285,0.115,-0.062,0.025,0.134,0.032,0.041,0.387,0.023,0.001,-0.142,0.059,0.027,0.119
ctx-lh-entorhinal,,,,,,0.021,0.203,0.149,0.107,0.222,0.111,0.342,0.357,-0.026,-0.054,0.249,-0.046,-0.004,-0.011,0.431,0.283,0.178,0.303,0.28,0.157,0.093,0.103,0.29,0.033,-0.018,0.19,-0.068,0.142,-0.042,0.039,-0.095,-0.064,0.146,-0.157,-0.028,0.012,0.172,0.091,0.109,-0.042,0.111,0.157,-0.047,0.025,0.04,-0.058,-0.159,-0.16,0.269,-0.022,-0.009,0.135,0.123,0.143,-0.108,-0.06,0.102,-0.076,-0.039,0.213,-0.233,0.083,-0.045
ctx-lh-fusiform,,,,,,,-0.135,0.132,-0.031,0.361,-0.123,0.239,-0.157,-0.129,0.241,0.004,0.009,-0.12,-0.046,0.135,0.004,-0.057,0.142,-0.066,-0.068,0.013,-0.002,0.28,-0.119,-0.153,0.071,-0.265,-0.103,-0.195,-0.31,-0.129,-0.048,0.31,0.131,0.097,-0.343,0.047,-0.121,0.12,-0.24,0.169,-0.287,-0.381,-0.057,-0.031,-0.229,-0.263,-0.281,0.282,-0.134,-0.157,0.008,-0.082,-0.12,-0.208,-0.204,0.223,-0.14,-0.257,-0.093,-0.213,0.067,-0.217
ctx-lh-inferiorparietal,,,,,,,,-0.264,0.147,-0.169,-0.196,-0.164,-0.072,0.103,0.039,-0.099,0.236,-0.062,0.089,0.021,0.005,0.163,0.049,0.076,0.056,0.074,0.21,-0.049,0.167,-0.03,0.087,0.166,-0.035,0.079,-0.006,-0.174,-0.038,0.195,0.234,-0.094,-0.271,-0.099,-0.029,-0.13,-0.308,-0.023,-0.144,0.12,-0.088,0.014,-0.193,-0.113,0.004,0.12,-0.012,-0.094,-0.02,-0.091,0.117,-0.103,0.112,-0.076,0.169,-0.135,-0.214,0.16,0.097,-0.0
ctx-lh-inferiortemporal,,,,,,,,,-0.1,-0.15,-0.215,0.053,-0.226,0.042,0.373,-0.086,0.064,-0.132,0.002,0.003,0.051,0.015,0.214,0.0,0.083,0.021,-0.032,-0.059,0.023,-0.087,0.066,-0.226,-0.024,0.117,-0.113,-0.17,0.123,0.142,0.133,0.02,-0.237,0.01,-0.098,-0.117,-0.329,0.098,-0.437,-0.293,0.106,-0.149,-0.055,-0.103,-0.271,0.143,-0.106,-0.137,0.05,-0.098,-0.129,-0.061,-0.07,-0.114,-0.153,-0.209,-0.193,-0.338,0.069,0.029
ctx-lh-isthmuscingulate,,,,,,,,,,-0.014,-0.127,-0.133,0.115,0.122,0.035,-0.32,0.169,0.181,0.221,0.027,-0.29,0.009,-0.187,-0.16,0.095,-0.012,0.251,-0.135,0.092,-0.24,-0.102,0.103,-0.164,-0.17,-0.198,-0.243,0.022,-0.329,-0.042,-0.08,-0.024,-0.12,-0.316,-0.088,-0.136,-0.188,0.038,0.071,0.095,-0.299,-0.198,-0.003,-0.085,-0.035,-0.313,-0.249,-0.169,-0.427,0.275,-0.226,0.052,-0.128,0.023,-0.363,-0.277,0.206,-0.077,-0.149
ctx-lh-lateraloccipital,,,,,,,,,,,-0.182,0.16,-0.205,0.024,0.468,-0.162,0.226,-0.102,0.038,-0.01,0.036,0.069,0.072,-0.053,-0.107,0.076,0.108,0.031,0.094,-0.095,0.04,0.018,0.127,0.106,-0.263,-0.077,-0.108,0.246,0.343,0.249,-0.186,-0.091,-0.023,-0.091,-0.264,0.228,-0.212,-0.232,0.215,-0.045,-0.247,-0.279,-0.187,0.195,-0.164,0.055,-0.144,-0.048,-0.073,-0.049,-0.047,0.104,-0.035,-0.176,-0.181,0.061,0.08,-0.066
