,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.096,-0.043,-0.012,0.12,-0.054,-0.04,-0.117,-0.066,0.072,-0.01,0.02,-0.098,-0.196,-0.046,-0.175,0.028,-0.086,-0.003,0.163,-0.284,0.064,-0.125,0.016,-0.023,0.044,-0.033,-0.022,-0.215,0.087,0.043,-0.049,-0.23,0.062,-0.161,0.157,0.023,0.044,-0.011,-0.111,-0.045,-0.162,-0.049,-0.003,-0.074,0.019,-0.124,-0.218,-0.032,-0.14,0.081,-0.033,0.086,0.186,-0.208,0.048,-0.105,-0.036,0.093,-0.004,-0.008,-0.104,-0.298,0.073,0.035,-0.088,-0.167,-0.018
ctx-lh-caudalanteriorcingulate,,,0.094,0.187,-0.166,-0.047,-0.025,-0.137,-0.108,0.066,-0.11,0.179,-0.164,-0.121,-0.089,0.143,-0.018,-0.037,-0.09,0.112,0.367,-0.167,0.313,0.012,-0.109,0.113,0.15,0.209,0.008,-0.152,0.084,-0.166,-0.099,-0.229,-0.022,-0.132,-0.06,0.155,-0.136,0.054,-0.148,-0.131,-0.159,0.111,-0.24,0.163,-0.136,-0.226,-0.043,0.161,-0.195,-0.119,-0.245,0.119,0.363,-0.231,0.271,-0.116,-0.192,-0.033,-0.085,0.207,0.066,-0.053,0.025,-0.089,-0.096,-0.22
ctx-lh-caudalmiddlefrontal,,,,0.07,-0.021,0.012,-0.038,-0.01,0.173,-0.052,0.008,0.027,-0.021,-0.038,0.018,0.019,-0.003,-0.016,0.067,-0.031,-0.138,0.209,-0.093,0.178,0.003,0.041,-0.131,0.058,-0.023,0.076,0.072,-0.036,-0.148,-0.064,-0.017,0.109,-0.081,0.051,-0.024,0.035,-0.004,-0.001,0.122,0.009,0.052,0.044,0.003,-0.018,0.023,-0.056,0.107,0.03,0.134,0.033,-0.142,0.182,-0.085,0.085,0.145,0.088,-0.037,-0.068,-0.045,0.016,0.021,0.017,-0.131,0.003
ctx-lh-cuneus,,,,,-0.119,-0.176,0.17,-0.062,-0.04,-0.042,0.14,-0.385,0.043,0.034,-0.076,-0.07,0.173,0.145,0.104,-0.029,-0.117,0.254,0.037,0.011,0.141,0.203,0.147,-0.106,-0.091,0.166,-0.037,-0.099,-0.026,0.137,0.004,0.206,0.143,-0.318,-0.069,-0.193,0.229,-0.164,-0.085,-0.058,0.097,-0.391,0.1,0.046,-0.103,-0.109,0.183,0.229,0.149,-0.015,-0.104,0.265,0.02,0.037,0.23,0.212,0.205,-0.14,-0.04,0.122,0.035,-0.068,0.013,0.187
ctx-lh-entorhinal,,,,,,0.141,-0.022,0.071,-0.084,-0.075,-0.023,-0.098,-0.13,0.097,0.155,0.025,-0.107,-0.03,-0.094,-0.115,0.075,-0.231,0.014,-0.085,-0.083,-0.142,-0.056,-0.049,0.149,-0.137,-0.089,0.104,0.028,-0.061,0.014,-0.165,-0.009,-0.093,0.097,0.151,0.002,0.156,-0.039,-0.072,-0.005,-0.062,-0.095,0.051,0.068,0.087,-0.166,-0.068,-0.134,-0.088,-0.012,-0.157,0.009,-0.041,-0.19,-0.126,-0.028,0.027,-0.047,-0.069,-0.144,0.135,-0.061,-0.078
ctx-lh-fusiform,,,,,,,0.019,0.122,-0.012,-0.25,0.068,-0.183,0.028,0.083,0.167,0.115,-0.035,-0.052,-0.13,-0.059,-0.022,0.088,0.02,0.094,0.029,0.03,0.089,-0.068,-0.076,0.019,-0.115,0.15,0.183,0.096,-0.085,-0.023,0.081,-0.175,0.227,-0.2,-0.03,0.068,0.021,-0.267,0.091,-0.157,0.003,-0.002,0.023,0.077,-0.2,-0.116,-0.154,-0.059,-0.103,0.107,-0.031,0.089,-0.015,-0.085,0.153,-0.128,-0.138,0.085,-0.129,0.071,0.157,0.06
ctx-lh-inferiorparietal,,,,,,,,-0.042,0.237,-0.049,0.116,0.057,0.088,-0.045,0.088,-0.016,0.001,0.133,0.158,0.041,-0.289,0.162,-0.215,0.143,0.044,-0.007,-0.098,0.08,-0.078,0.066,0.088,-0.018,-0.01,-0.05,-0.005,-0.008,-0.007,0.192,0.021,0.012,-0.028,-0.092,0.17,-0.033,0.162,0.01,0.082,0.028,0.051,-0.073,0.114,0.203,0.224,0.046,-0.248,0.197,-0.192,0.104,0.089,0.085,0.036,0.024,-0.077,0.002,0.098,0.08,-0.074,0.027
ctx-lh-inferiortemporal,,,,,,,,,0.068,-0.042,-0.128,-0.027,0.019,0.017,0.109,0.189,-0.178,-0.186,-0.123,-0.079,0.004,0.044,0.033,0.015,0.009,-0.127,0.047,-0.022,-0.023,-0.129,0.001,0.054,0.135,0.011,-0.142,-0.133,0.018,-0.025,0.155,0.078,-0.111,0.058,0.072,-0.013,-0.023,0.039,0.024,0.028,0.068,0.128,-0.207,-0.223,-0.155,-0.036,-0.008,0.031,0.05,0.005,-0.037,-0.195,0.083,-0.048,-0.07,-0.001,-0.122,-0.024,0.142,0.013
ctx-lh-isthmuscingulate,,,,,,,,,,-0.02,0.092,-0.106,-0.021,0.032,0.037,-0.157,0.096,0.226,0.173,-0.165,-0.378,-0.001,-0.218,0.027,-0.039,0.188,0.007,-0.053,-0.141,-0.025,0.017,0.029,-0.151,-0.203,-0.039,-0.063,0.2,-0.059,0.053,-0.014,0.289,-0.014,-0.038,-0.032,0.081,-0.095,-0.031,0.135,0.002,-0.182,0.133,0.347,0.298,-0.092,-0.316,0.08,-0.216,0.036,-0.057,0.256,0.084,-0.068,-0.125,-0.07,0.031,0.086,-0.19,-0.185
ctx-lh-lateraloccipital,,,,,,,,,,,0.017,-0.027,-0.007,0.106,-0.075,0.108,0.016,-0.015,-0.019,0.076,0.027,0.054,0.117,-0.004,0.07,0.043,0.122,-0.127,0.052,0.101,-0.103,-0.091,0.129,0.069,0.052,0.029,0.041,-0.02,0.014,-0.197,-0.023,-0.068,-0.002,-0.198,0.0,-0.021,0.064,0.067,-0.126,0.089,-0.048,-0.013,-0.138,-0.011,0.016,0.075,0.088,0.022,0.11,0.001,0.203,-0.142,0.034,0.023,-0.042,-0.088,0.168,0.082
