,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.246,0.148,-0.154,-0.034,-0.167,0.476,0.187,0.314,-0.202,-0.284,-0.16,0.133,0.299,-0.083,-0.386,0.055,0.138,0.055,-0.148,-0.41,-0.188,-0.404,0.253,-0.1,-0.081,-0.092,-0.148,0.078,0.186,-0.022,-0.208,0.033,-0.145,-0.177,-0.302,0.092,-0.044,-0.19,-0.159,0.399,-0.161,0.231,-0.212,-0.067,-0.129,0.01,0.039,0.152,-0.352,-0.025,-0.061,-0.15,-0.012,-0.41,-0.097,-0.477,0.115,0.013,0.008,-0.104,-0.138,-0.167,-0.119,-0.052,-0.019,-0.145,-0.415
ctx-lh-caudalanteriorcingulate,,,-0.023,0.042,0.029,-0.03,0.035,-0.11,-0.065,0.094,-0.274,0.154,-0.096,-0.169,-0.241,0.223,-0.074,-0.201,-0.128,0.081,0.106,-0.226,0.159,-0.071,-0.02,0.117,0.096,0.108,-0.219,-0.068,0.035,-0.33,-0.224,0.065,-0.208,-0.154,0.157,-0.075,-0.088,-0.04,0.076,-0.367,-0.051,0.168,-0.153,0.053,-0.084,-0.214,-0.155,0.078,-0.029,-0.276,-0.129,0.034,0.049,-0.215,0.218,-0.069,-0.039,0.218,0.175,0.136,-0.464,-0.075,-0.041,-0.152,-0.172,-0.133
ctx-lh-caudalmiddlefrontal,,,,-0.048,0.065,0.011,-0.027,-0.093,0.194,0.066,0.076,-0.045,0.092,0.22,0.25,-0.012,0.191,0.087,0.028,0.06,0.082,0.159,-0.097,-0.052,-0.069,-0.136,0.171,-0.227,0.344,-0.289,0.069,0.332,-0.079,-0.054,0.038,-0.08,-0.202,0.123,-0.032,0.268,-0.116,0.281,0.175,0.014,0.25,0.217,0.057,0.129,-0.027,0.148,-0.256,0.13,-0.107,0.07,-0.079,-0.004,-0.129,-0.104,0.072,-0.115,0.03,-0.274,0.406,-0.257,-0.065,0.135,0.133,0.049
ctx-lh-cuneus,,,,,-0.002,0.023,0.199,0.036,0.024,-0.135,0.018,-0.038,-0.015,0.104,0.039,-0.413,0.102,0.004,0.05,-0.098,-0.333,-0.09,-0.232,0.092,0.104,0.106,0.052,0.098,-0.026,0.043,-0.023,-0.012,-0.162,-0.011,0.014,-0.028,0.09,-0.01,-0.098,-0.079,0.096,-0.187,-0.064,-0.172,-0.095,-0.018,0.168,0.01,0.164,-0.316,0.147,-0.07,0.1,-0.1,-0.195,-0.173,-0.113,0.033,0.24,-0.069,0.095,0.034,-0.14,0.047,-0.078,-0.305,-0.18,-0.246
ctx-lh-entorhinal,,,,,,-0.161,0.137,-0.194,-0.123,-0.019,-0.107,-0.024,0.055,-0.217,-0.016,0.003,-0.066,0.126,0.068,0.056,-0.065,-0.083,0.23,0.307,-0.085,-0.03,0.022,0.034,-0.159,-0.004,0.093,0.028,-0.014,-0.146,0.106,0.135,0.059,-0.07,-0.167,-0.1,0.283,-0.068,-0.084,0.126,-0.151,0.01,-0.113,-0.236,-0.011,-0.14,0.248,0.111,0.327,0.051,0.166,-0.026,0.211,0.303,-0.135,0.038,0.057,0.194,-0.247,0.002,0.206,-0.145,-0.229,-0.152
ctx-lh-fusiform,,,,,,,0.103,-0.076,-0.225,0.062,-0.125,0.096,-0.16,-0.27,-0.377,-0.033,-0.059,-0.224,-0.055,0.237,-0.194,-0.113,-0.045,-0.019,-0.005,-0.089,0.027,0.131,-0.116,0.003,-0.272,-0.141,0.095,-0.104,-0.09,0.137,0.086,-0.017,-0.145,-0.209,0.059,-0.228,-0.32,0.123,-0.101,-0.08,-0.244,-0.385,-0.038,-0.189,0.144,-0.254,0.024,0.137,-0.104,-0.112,0.022,0.028,-0.094,-0.028,0.062,0.12,-0.453,0.04,-0.168,-0.214,0.052,-0.245
ctx-lh-inferiorparietal,,,,,,,,-0.119,0.22,-0.042,0.082,0.045,0.118,0.093,0.2,-0.244,0.067,0.0,-0.029,-0.008,-0.085,0.213,-0.27,0.098,0.064,-0.109,-0.032,-0.184,0.257,-0.165,-0.064,0.078,-0.075,-0.061,0.308,-0.13,-0.042,0.097,-0.077,0.103,-0.066,-0.18,0.303,0.032,-0.011,-0.008,0.122,0.035,0.226,-0.066,-0.242,0.132,-0.102,-0.018,-0.134,0.073,-0.161,0.136,0.232,-0.037,-0.125,-0.161,0.44,-0.156,-0.26,0.085,-0.206,-0.145
ctx-lh-inferiortemporal,,,,,,,,,-0.285,0.09,0.032,-0.134,0.101,0.109,-0.546,0.222,0.021,0.152,0.026,-0.1,0.007,-0.022,0.096,-0.052,-0.14,0.018,0.045,-0.118,0.263,-0.156,-0.154,0.002,0.25,-0.129,0.262,-0.002,-0.103,0.1,-0.327,-0.167,-0.056,-0.005,-0.176,0.095,0.018,-0.1,-0.131,0.119,-0.176,0.061,0.19,0.061,0.056,0.031,0.106,-0.132,0.16,-0.053,0.025,0.023,0.159,-0.034,0.168,-0.058,0.094,-0.088,-0.021,-0.112
ctx-lh-isthmuscingulate,,,,,,,,,,-0.224,-0.176,-0.123,0.114,0.053,0.335,-0.235,0.067,0.004,-0.009,-0.149,-0.064,0.156,-0.029,0.222,0.143,0.066,0.164,0.075,-0.087,-0.168,-0.41,-0.011,-0.141,-0.152,0.104,-0.178,0.179,-0.103,-0.296,-0.067,0.184,-0.097,0.329,-0.172,-0.065,-0.155,0.329,-0.025,0.386,-0.023,-0.174,0.194,-0.035,-0.153,-0.085,0.135,-0.109,0.264,0.25,0.037,0.082,-0.044,0.113,-0.147,-0.316,-0.016,-0.186,-0.106
ctx-lh-lateraloccipital,,,,,,,,,,,-0.068,0.222,-0.236,-0.18,0.0,-0.401,0.368,-0.111,0.387,0.238,-0.265,-0.055,-0.107,-0.326,-0.094,0.266,-0.092,0.059,-0.055,0.124,-0.005,-0.204,0.178,0.121,0.045,0.095,-0.03,-0.035,-0.063,0.067,-0.074,-0.151,-0.351,0.106,-0.108,0.157,-0.088,-0.297,0.183,-0.417,0.366,0.026,0.228,0.278,-0.174,-0.114,-0.045,-0.194,-0.053,0.22,-0.069,0.067,-0.115,0.141,-0.052,-0.27,-0.033,-0.055
