,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.005,0.086,-0.063,-0.065,-0.112,-0.132,0.122,0.104,-0.011,0.014,-0.027,-0.022,-0.131,-0.072,-0.104,0.113,-0.096,0.059,0.073,-0.103,-0.059,-0.168,-0.05,0.091,0.06,0.049,0.013,-0.058,-0.006,-0.112,-0.074,-0.096,0.101
ctx-lh-frontal,,,-0.015,-0.012,0.023,-0.04,0.051,0.106,0.029,-0.019,0.001,0.015,-0.053,0.076,0.012,0.062,0.068,-0.014,0.01,-0.016,-0.032,0.007,-0.032,0.092,0.1,0.012,-0.006,-0.005,0.001,-0.046,0.041,-0.003,0.033,0.037
ctx-lh-inter_precentral,,,,0.004,0.031,0.003,0.046,-0.032,-0.05,-0.056,-0.038,-0.036,-0.002,0.137,0.098,0.083,0.032,0.058,-0.029,-0.062,-0.003,0.02,0.06,0.014,-0.029,-0.039,0.005,-0.012,-0.032,0.009,0.071,0.069,0.063,0.011
ctx-lh-precentral,,,,,-0.088,-0.057,-0.0,-0.077,-0.012,-0.119,-0.191,-0.167,0.002,-0.035,0.0,-0.029,0.127,0.007,0.042,0.064,-0.102,-0.109,-0.039,0.009,-0.067,-0.005,0.009,-0.168,-0.125,0.049,0.029,-0.001,-0.031,0.091
ctx-lh-postcentral,,,,,,-0.111,-0.003,-0.071,-0.011,-0.113,-0.177,-0.186,-0.011,-0.057,-0.01,-0.05,0.1,0.037,0.094,0.077,-0.172,-0.183,-0.136,-0.006,-0.06,-0.01,0.024,-0.167,-0.16,0.011,0.005,0.016,-0.053,0.036
ctx-lh-inter_postcentral,,,,,,,0.028,-0.034,0.001,-0.104,-0.153,-0.129,0.005,-0.049,-0.045,0.01,0.13,-0.009,0.02,0.093,-0.027,-0.123,-0.095,-0.004,-0.07,-0.002,-0.058,-0.167,-0.118,0.027,0.039,0.01,-0.029,0.114
ctx-lh-parietal,,,,,,,,0.121,0.13,-0.1,0.011,0.101,-0.039,-0.071,-0.057,-0.036,0.106,-0.142,0.008,0.021,0.022,0.006,0.075,-0.01,0.088,0.113,-0.201,-0.067,0.049,-0.026,-0.066,-0.001,-0.081,0.095
ctx-lh-visuopsychic,,,,,,,,,0.041,0.056,-0.012,0.073,0.026,0.158,0.004,0.117,-0.036,0.059,0.021,-0.088,-0.091,-0.068,-0.065,-0.039,-0.143,-0.031,-0.098,-0.059,0.059,-0.041,0.146,0.037,0.101,-0.051
ctx-lh-visuosensory,,,,,,,,,,0.124,0.025,-0.019,0.062,0.073,-0.053,0.051,-0.133,0.035,-0.038,-0.126,-0.004,-0.007,0.009,0.026,0.005,-0.054,-0.019,-0.039,-0.021,0.008,0.05,0.006,0.011,-0.129
ctx-lh-temporal,,,,,,,,,,,-0.001,-0.012,0.022,0.058,-0.0,0.109,0.009,-0.042,-0.031,-0.068,-0.146,-0.138,-0.188,-0.076,0.008,0.116,-0.115,-0.077,-0.055,-0.003,-0.016,0.014,0.036,0.011
ctx-lh-audiopsychic,,,,,,,,,,,,-0.111,-0.045,0.062,0.033,0.119,0.004,0.025,-0.003,-0.039,-0.178,-0.234,-0.213,-0.01,-0.021,0.061,-0.01,-0.159,-0.153,-0.004,0.067,0.047,0.091,-0.036
ctx-lh-audiosensory,,,,,,,,,,,,,-0.018,-0.035,0.04,0.038,0.03,-0.045,-0.017,-0.021,-0.133,-0.207,-0.099,0.096,0.057,0.016,-0.071,-0.221,-0.111,0.007,-0.012,0.021,0.001,0.023
ctx-lh-olfactory,,,,,,,,,,,,,,-0.086,0.036,-0.058,-0.048,-0.063,-0.095,-0.051,0.002,-0.022,-0.045,0.009,0.058,0.07,0.037,-0.046,-0.038,0.067,-0.153,0.001,-0.023,-0.059
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.073,-0.121,0.076,-0.155,0.053,0.064,-0.049,-0.038,-0.064,0.004,0.126,0.076,-0.016,0.036,-0.066,-0.098,-0.201,-0.068,-0.205,0.049
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.12,0.056,-0.072,-0.007,0.067,-0.03,0.016,-0.051,-0.045,0.008,-0.052,-0.005,0.078,0.02,-0.024,-0.069,0.001,-0.139,0.071
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.001,-0.126,0.03,-0.028,-0.066,-0.02,-0.045,-0.006,0.105,0.055,0.001,0.062,0.007,-0.068,-0.17,-0.064,-0.101,-0.014
ctx-lh-insula,,,,,,,,,,,,,,,,,,0.013,-0.069,-0.168,0.115,0.094,0.181,0.045,0.004,-0.094,-0.077,0.075,0.054,-0.035,0.017,0.066,-0.0,-0.102
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.064,0.136,-0.006,0.018,-0.056,-0.038,0.024,-0.008,0.036,0.07,-0.038,-0.048,-0.091,-0.098,-0.12,0.028
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,0.028,0.073,0.108,0.058,0.072,0.032,-0.049,-0.028,0.052,0.022,-0.041,0.081,-0.011,0.023,-0.048
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.121,0.121,0.154,0.018,-0.098,-0.126,0.021,0.077,0.031,-0.002,0.061,0.075,0.04,-0.098
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.053,0.018,0.04,-0.089,-0.011,0.035,-0.121,-0.068,0.076,0.036,-0.013,-0.022,0.125
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.074,0.04,-0.039,-0.009,0.036,-0.148,-0.112,0.038,-0.004,-0.019,-0.043,0.092
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,0.079,-0.08,0.008,-0.047,-0.116,-0.038,0.069,0.024,-0.005,-0.025,0.161
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,0.009,-0.123,-0.039,0.094,0.06,0.051,0.041,0.028,0.044
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-0.049,-0.083,0.068,-0.011,0.126,0.088,0.104,-0.028
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.027,0.02,0.028,0.069,0.012,0.059,-0.11
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,-0.037,0.029,0.002,0.04,0.052,-0.038
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.179,-0.015,0.052,0.042,0.042,0.081
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017,-0.094,-0.023,-0.054,0.059
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.116,-0.019,-0.006,-0.03
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.075,-0.127,-0.0
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058,0.015
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
