,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.034,-0.044,-0.059,-0.044,-0.05,-0.098,-0.031,-0.059,-0.052,-0.046,-0.057,-0.029,-0.053,-0.148,-0.03,-0.044,0.011,0.041,-0.071,-0.041,-0.003,-0.045,-0.085,-0.027,-0.065,-0.102,-0.038,-0.07,-0.036,-0.033,-0.049,-0.025,-0.094
ctx-lh-frontal,,,-0.0,0.06,0.066,0.024,-0.038,-0.006,-0.034,0.016,0.015,-0.001,-0.004,0.056,-0.162,0.014,-0.017,0.034,0.069,-0.008,0.069,0.107,0.062,0.0,0.005,-0.052,-0.041,0.042,-0.059,-0.089,0.041,-0.054,0.01,-0.077
ctx-lh-inter_precentral,,,,0.017,0.045,0.032,-0.096,-0.127,-0.082,-0.082,-0.052,-0.091,-0.068,-0.066,-0.154,-0.153,-0.088,-0.023,0.01,-0.023,0.005,0.009,0.032,-0.075,-0.115,-0.074,-0.094,-0.039,-0.073,-0.129,-0.057,-0.104,-0.102,-0.102
ctx-lh-precentral,,,,,-0.046,0.004,0.01,-0.078,0.071,-0.037,-0.058,-0.051,-0.012,-0.058,-0.121,-0.119,0.08,-0.043,0.019,0.029,-0.102,-0.148,-0.074,-0.019,-0.11,0.039,-0.08,-0.14,0.006,-0.098,-0.049,-0.067,-0.104,0.067
ctx-lh-postcentral,,,,,,-0.226,-0.04,-0.096,0.085,-0.043,-0.045,-0.002,0.031,-0.036,-0.111,-0.093,0.108,-0.03,0.039,0.019,-0.059,-0.173,-0.196,-0.053,-0.111,0.036,-0.119,-0.134,0.023,-0.052,-0.01,-0.019,-0.086,0.085
ctx-lh-inter_postcentral,,,,,,,0.041,-0.058,0.081,-0.022,-0.095,-0.046,0.046,-0.038,-0.09,-0.073,0.109,-0.015,0.012,0.071,-0.07,-0.196,-0.096,-0.003,-0.082,0.015,-0.06,-0.138,-0.005,-0.063,-0.007,-0.017,-0.049,0.106
ctx-lh-parietal,,,,,,,,-0.102,-0.039,-0.087,-0.045,-0.019,-0.044,-0.053,-0.124,-0.078,-0.094,-0.03,0.014,-0.085,0.006,-0.001,0.029,0.029,-0.091,-0.092,-0.036,-0.041,0.005,-0.085,-0.039,-0.033,-0.06,-0.054
ctx-lh-visuopsychic,,,,,,,,,0.054,-0.039,-0.111,-0.099,-0.01,0.026,-0.072,-0.091,-0.06,-0.004,-0.027,-0.094,-0.082,-0.107,-0.105,-0.074,-0.037,0.074,-0.065,-0.153,-0.068,-0.064,0.033,0.018,-0.013,-0.091
ctx-lh-visuosensory,,,,,,,,,,-0.001,0.001,-0.056,-0.008,-0.024,-0.129,-0.109,-0.083,-0.06,-0.045,-0.035,0.062,0.057,0.047,-0.054,0.034,-0.017,-0.075,-0.057,-0.044,-0.044,-0.037,-0.038,-0.054,-0.064
ctx-lh-temporal,,,,,,,,,,,-0.081,-0.079,-0.071,-0.032,-0.134,-0.022,-0.091,-0.049,0.016,-0.077,-0.043,-0.014,-0.047,-0.065,-0.029,-0.009,-0.084,-0.08,-0.082,-0.087,-0.08,-0.064,-0.038,-0.098
ctx-lh-audiopsychic,,,,,,,,,,,,-0.063,-0.057,-0.029,-0.082,-0.061,-0.057,-0.04,-0.019,-0.077,-0.034,-0.069,-0.106,-0.062,-0.126,-0.025,-0.153,-0.203,-0.023,-0.097,-0.052,-0.019,-0.091,-0.071
ctx-lh-audiosensory,,,,,,,,,,,,,-0.042,-0.024,-0.084,-0.089,-0.075,-0.049,-0.009,-0.059,-0.004,-0.035,-0.031,0.004,-0.085,-0.054,-0.082,-0.074,-0.121,-0.109,-0.064,-0.064,-0.076,-0.07
ctx-lh-olfactory,,,,,,,,,,,,,,-0.042,0.076,-0.116,-0.017,-0.016,0.008,-0.07,-0.047,-0.038,-0.022,-0.02,-0.008,-0.03,-0.059,-0.071,-0.055,-0.125,-0.014,0.014,-0.038,-0.053
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.119,-0.001,-0.08,0.037,0.082,-0.077,-0.056,-0.015,-0.037,-0.061,0.022,-0.043,-0.005,-0.018,-0.053,-0.12,-0.023,-0.048,-0.05,-0.084
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.066,-0.112,-0.138,-0.122,-0.133,-0.154,-0.096,-0.098,-0.115,-0.096,-0.153,-0.117,-0.06,-0.063,-0.025,-0.155,-0.133,-0.075,-0.122
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.244,0.072,0.007,-0.212,-0.14,-0.053,-0.079,-0.113,-0.043,-0.135,-0.051,-0.083,-0.115,-0.052,-0.047,0.017,-0.043,-0.2
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.053,-0.033,-0.062,0.069,0.061,0.158,-0.036,-0.087,-0.137,-0.07,-0.01,-0.001,-0.025,-0.082,-0.07,-0.2,-0.049
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.023,-0.087,-0.024,0.005,-0.035,-0.036,0.022,-0.061,-0.125,-0.04,-0.069,-0.047,-0.016,-0.067,0.05,-0.088
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.051,0.042,0.06,0.035,0.008,-0.007,-0.07,-0.056,-0.008,-0.067,-0.081,0.035,-0.062,0.029,-0.115
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.028,0.015,0.056,-0.05,-0.091,-0.079,-0.12,-0.052,-0.02,-0.117,-0.089,-0.071,-0.166,-0.063
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.123,-0.074,0.013,-0.098,0.026,-0.075,-0.116,0.045,-0.104,-0.043,-0.058,-0.125,0.05
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.184,0.005,-0.1,0.021,-0.035,-0.085,0.027,-0.049,-0.031,-0.057,-0.063,0.04
