,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.114,0.114,-0.145,-0.145,-0.162,0.054,0.168,0.012,0.022,0.215,0.004,0.087,-0.132,0.021,-0.004,-0.008,-0.288,-0.2,-0.222,-0.307,-0.143,-0.27,0.121,0.152,-0.005,-0.007,0.098,-0.026,-0.006,-0.297,0.02,-0.091,-0.114
ctx-lh-frontal,,,-0.146,-0.018,-0.028,-0.039,-0.006,-0.181,-0.12,0.097,0.044,-0.184,-0.035,0.103,-0.138,0.018,-0.219,0.036,-0.206,-0.359,-0.246,0.052,-0.033,-0.09,-0.18,-0.118,0.122,0.122,-0.02,0.002,-0.047,-0.069,0.101,-0.209
ctx-lh-inter_precentral,,,,-0.156,-0.073,0.246,0.044,0.072,-0.061,0.03,-0.039,-0.315,-0.061,0.277,0.032,-0.066,-0.241,-0.16,-0.441,-0.264,-0.108,0.023,0.233,0.131,0.165,-0.041,0.042,0.255,-0.152,0.04,-0.027,0.06,0.006,-0.123
ctx-lh-precentral,,,,,-0.269,0.174,-0.075,-0.175,-0.098,-0.141,-0.104,-0.004,0.097,-0.0,0.108,-0.393,0.19,-0.032,0.059,0.163,-0.214,-0.233,-0.003,0.043,-0.091,-0.131,0.013,-0.017,-0.052,-0.085,0.027,0.051,-0.254,0.175
ctx-lh-postcentral,,,,,,-0.348,-0.216,-0.019,-0.079,0.018,0.106,0.014,0.184,0.005,0.244,-0.302,0.265,-0.098,-0.137,0.023,-0.179,-0.083,-0.174,-0.121,-0.104,-0.073,-0.137,-0.033,-0.1,0.039,-0.118,0.021,-0.162,0.025
ctx-lh-inter_postcentral,,,,,,,0.002,-0.101,-0.231,0.218,0.229,0.185,0.208,-0.044,0.182,-0.327,0.436,-0.008,-0.027,0.293,-0.024,-0.298,0.042,0.03,-0.185,-0.257,0.084,0.18,0.019,0.036,-0.077,0.123,-0.35,0.363
ctx-lh-parietal,,,,,,,,-0.102,-0.022,0.193,0.051,0.035,0.178,-0.048,0.073,-0.117,0.151,0.068,0.155,0.083,-0.155,-0.104,-0.006,0.01,-0.034,0.046,0.121,-0.064,-0.011,0.2,0.07,0.048,-0.08,0.175
ctx-lh-visuopsychic,,,,,,,,,0.118,-0.029,0.065,0.11,0.3,-0.149,-0.028,0.218,-0.009,0.008,-0.249,-0.172,-0.115,-0.039,-0.225,-0.027,0.141,0.021,-0.089,-0.107,0.13,0.333,0.037,-0.117,0.208,-0.194
ctx-lh-visuosensory,,,,,,,,,,-0.017,-0.027,-0.061,0.284,-0.168,-0.007,0.113,0.005,-0.07,-0.295,-0.119,-0.034,-0.027,-0.222,0.019,-0.064,0.088,-0.072,-0.057,0.131,0.079,0.022,-0.22,0.001,-0.075
ctx-lh-temporal,,,,,,,,,,,0.03,0.084,0.008,0.195,0.012,0.147,-0.085,-0.079,0.15,-0.128,-0.04,0.068,0.139,0.132,-0.05,0.083,-0.085,0.12,-0.007,0.161,0.063,-0.116,0.119,-0.138
ctx-lh-audiopsychic,,,,,,,,,,,,-0.197,-0.041,0.136,0.125,-0.113,-0.238,0.205,0.004,-0.123,-0.007,-0.059,0.083,0.019,-0.038,-0.133,-0.107,0.011,-0.304,-0.036,0.019,0.029,-0.013,-0.338
ctx-lh-audiosensory,,,,,,,,,,,,,-0.124,-0.013,0.024,-0.289,-0.093,0.134,0.058,-0.027,-0.061,-0.039,0.114,-0.012,-0.069,-0.126,0.156,-0.031,-0.136,-0.209,0.113,0.024,-0.159,-0.044
ctx-lh-olfactory,,,,,,,,,,,,,,0.241,0.303,-0.058,-0.137,0.124,-0.106,-0.095,-0.043,-0.262,-0.277,-0.015,0.081,0.18,-0.153,-0.163,-0.134,-0.244,0.082,0.176,-0.022,-0.24
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.097,0.16,0.236,-0.05,-0.091,0.052,-0.027,-0.009,-0.015,0.076,-0.25,-0.24,0.328,0.21,-0.032,0.328,-0.115,0.104,0.171,-0.003
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.113,0.042,0.122,-0.061,-0.044,0.047,0.034,-0.06,-0.059,-0.154,-0.038,-0.158,-0.098,0.078,0.192,-0.228,-0.108,-0.095,-0.163
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.06,-0.02,-0.123,-0.1,-0.206,-0.067,-0.134,0.031,-0.034,-0.001,0.263,-0.061,-0.095,0.023,-0.008,0.08,0.197,-0.137
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.047,-0.178,-0.076,0.064,0.214,0.333,0.123,0.011,-0.062,-0.104,-0.073,-0.212,-0.056,0.165,0.023,-0.006,0.105
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.097,-0.053,-0.147,-0.073,-0.196,0.128,-0.081,-0.196,0.057,0.129,0.05,-0.004,0.006,0.157,0.054,0.012
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.227,-0.091,0.045,-0.048,0.052,-0.217,-0.36,0.302,0.05,0.114,0.0,-0.009,-0.059,0.073,-0.0
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.063,-0.063,0.221,0.104,0.07,-0.183,0.058,0.103,-0.01,-0.032,-0.07,-0.02,0.013,0.225
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.116,0.238,0.001,-0.084,-0.135,0.067,0.078,0.052,-0.045,-0.157,0.015,-0.082,0.136
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.138,-0.049,-0.138,-0.186,0.072,-0.11,0.061,-0.256,-0.088,-0.019,-0.165,0.025
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.051,-0.181,-0.236,0.121,0.176,0.145,-0.2,0.11,0.172,-0.136,0.275
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,0.072,0.053,0.022,-0.131,-0.043,0.018,0.285,-0.008,0.228,0.171
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044,0.008,-0.142,-0.072,0.111,-0.015,-0.225,-0.028,-0.08
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.024,-0.214,-0.062,0.105,-0.151,-0.195,-0.146,-0.173
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.063,-0.02,-0.113,0.398,-0.063,0.233,0.114
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.129,-0.117,0.096,0.145,-0.124,-0.051
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.179,0.012,0.022,-0.15,-0.081
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146,0.296,-0.059,-0.134
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,0.285,-0.032
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,-0.101
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.072
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
