,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.167,0.071,-0.166,-0.164,-0.096,0.13,0.075,0.137,-0.227,-0.038,-0.148,-0.035,-0.03,-0.068,-0.03,-0.099,0.013,-0.127,0.044,-0.033,0.015,0.039,0.079,-0.106,0.097,0.073,-0.012,-0.164,0.053,-0.053,0.061,-0.079,-0.097,-0.154,0.104,0.057,-0.136,-0.178,-0.123,0.062,-0.068,-0.015,-0.223,0.076,-0.111,-0.122,-0.023,-0.123,-0.072,0.187,0.021,0.053,0.008,0.061,-0.001,0.022,0.088,-0.015,0.17,0.053,-0.042,-0.117,0.182,-0.066,0.123,-0.131,0.011
ctx-lh-caudalanteriorcingulate,,,0.133,-0.009,-0.098,-0.149,0.117,-0.017,0.185,-0.087,0.051,0.021,0.102,0.144,-0.21,-0.083,0.165,0.119,0.102,-0.004,-0.01,-0.003,-0.162,0.197,0.178,0.038,0.122,-0.107,0.108,-0.008,0.111,-0.126,0.139,0.086,0.086,0.029,0.181,0.002,-0.099,-0.106,0.168,0.021,0.131,-0.056,0.135,-0.158,0.073,0.184,-0.042,-0.048,0.065,0.135,0.07,-0.029,-0.026,0.103,0.029,0.159,0.129,0.218,0.11,-0.118,0.033,-0.106,0.194,0.029,-0.103,0.063
ctx-lh-caudalmiddlefrontal,,,,-0.074,-0.025,-0.073,-0.243,-0.14,-0.143,-0.152,0.03,0.021,-0.036,-0.045,-0.269,-0.123,-0.009,-0.073,-0.085,0.061,0.049,0.05,0.002,-0.075,0.109,-0.059,-0.06,-0.146,0.044,0.02,0.118,0.018,0.099,0.15,0.024,0.144,0.007,-0.073,0.105,0.007,-0.157,-0.008,-0.124,-0.16,0.019,-0.087,-0.088,0.056,-0.069,0.019,0.039,0.083,0.041,0.004,-0.01,0.196,0.048,-0.057,0.14,-0.053,-0.006,-0.083,0.154,0.152,0.062,0.076,-0.007,0.067
ctx-lh-cuneus,,,,,0.036,-0.146,0.003,0.072,-0.033,0.015,-0.098,-0.036,-0.196,0.065,0.076,-0.2,-0.105,-0.016,-0.106,-0.1,-0.238,0.017,-0.137,-0.124,-0.086,-0.047,-0.088,-0.101,-0.138,0.094,-0.039,-0.001,-0.169,-0.186,-0.01,0.025,0.008,-0.011,0.074,-0.153,0.109,-0.04,-0.154,0.038,0.007,-0.159,-0.147,-0.012,-0.123,-0.138,-0.067,0.186,-0.069,-0.082,-0.215,0.001,-0.197,-0.077,-0.068,-0.013,-0.112,-0.109,-0.178,-0.072,-0.231,-0.029,-0.119,-0.092
ctx-lh-entorhinal,,,,,,-0.003,0.07,-0.084,-0.018,0.017,-0.099,0.004,-0.112,-0.113,0.011,-0.027,-0.136,-0.102,-0.136,0.053,0.048,-0.107,-0.003,0.05,-0.163,-0.04,-0.025,0.096,-0.121,-0.145,0.055,-0.094,-0.053,-0.141,-0.116,-0.059,-0.053,0.02,-0.098,-0.244,0.009,-0.142,0.024,0.053,-0.17,0.049,-0.174,-0.203,-0.01,0.049,-0.042,-0.213,-0.109,0.153,0.042,-0.119,0.072,0.08,-0.173,-0.051,-0.105,0.035,-0.2,-0.026,-0.002,-0.037,-0.117,-0.201
ctx-lh-fusiform,,,,,,,-0.018,-0.15,-0.014,-0.012,-0.136,-0.025,-0.101,-0.139,0.076,-0.167,-0.01,-0.072,-0.092,-0.12,-0.255,-0.183,-0.208,-0.134,-0.194,0.098,-0.053,-0.224,-0.17,-0.23,-0.002,0.066,-0.288,-0.205,-0.116,-0.051,0.008,-0.066,0.035,-0.007,-0.006,-0.033,-0.029,0.061,-0.138,0.087,-0.06,0.004,0.024,-0.227,-0.179,0.092,-0.135,-0.055,-0.244,-0.21,-0.169,-0.272,-0.241,-0.055,-0.149,-0.086,-0.124,-0.21,-0.09,-0.069,-0.157,-0.203
ctx-lh-inferiorparietal,,,,,,,,-0.027,-0.149,0.023,0.053,-0.042,-0.235,-0.029,-0.16,-0.04,-0.023,-0.029,-0.013,0.076,-0.029,-0.011,0.035,-0.129,-0.034,-0.062,-0.116,0.094,0.067,0.086,-0.052,0.09,-0.062,0.045,0.023,0.127,-0.076,0.085,0.074,0.073,0.003,0.064,-0.2,0.138,0.06,0.124,-0.275,0.027,-0.089,-0.055,0.061,0.1,-0.023,0.221,-0.022,0.108,0.085,-0.112,-0.005,-0.071,-0.091,0.119,0.076,0.225,-0.209,0.055,-0.031,0.024
ctx-lh-inferiortemporal,,,,,,,,,0.042,0.064,-0.065,0.056,-0.019,0.027,-0.043,-0.177,0.006,-0.07,-0.092,-0.022,-0.191,-0.088,-0.122,-0.116,-0.084,0.113,0.001,-0.201,0.087,-0.117,0.138,0.136,-0.037,-0.026,-0.063,0.062,-0.098,0.086,0.027,-0.08,-0.099,-0.089,0.032,0.099,-0.084,0.125,-0.008,-0.04,0.059,-0.144,-0.092,0.012,0.045,0.082,-0.102,-0.085,-0.005,-0.222,-0.13,-0.063,-0.091,-0.067,0.003,-0.048,-0.02,-0.012,0.021,-0.0
ctx-lh-isthmuscingulate,,,,,,,,,,-0.058,-0.063,-0.074,-0.156,-0.038,-0.216,-0.018,-0.051,-0.02,0.083,0.028,-0.098,-0.047,-0.01,-0.32,-0.127,-0.012,-0.063,-0.094,-0.0,0.076,-0.098,0.143,-0.048,-0.073,-0.03,0.153,-0.014,-0.084,-0.031,-0.024,-0.033,-0.084,-0.274,-0.066,-0.016,-0.017,-0.196,-0.07,-0.155,0.003,0.029,0.141,0.113,0.064,0.006,0.032,0.021,-0.2,-0.056,0.113,0.023,-0.106,-0.053,0.057,-0.149,0.097,-0.209,-0.1
ctx-lh-lateraloccipital,,,,,,,,,,,-0.135,-0.022,-0.161,0.031,0.083,-0.181,-0.017,0.074,-0.09,-0.096,-0.246,-0.1,-0.136,-0.171,-0.22,-0.014,-0.142,-0.195,-0.124,-0.099,-0.001,0.095,-0.239,-0.23,-0.146,0.036,-0.025,-0.181,0.078,-0.057,-0.004,-0.022,-0.225,0.018,-0.128,-0.005,-0.263,-0.006,-0.0,-0.272,-0.154,0.134,-0.137,-0.071,-0.191,-0.149,-0.145,-0.261,-0.14,-0.119,-0.202,-0.062,-0.092,-0.125,-0.162,0.06,-0.027,-0.086
