,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.215,0.247,-0.192,0.017,-0.355,0.258,0.074,-0.011,-0.087,0.296,-0.215,0.098,0.071,-0.194,0.188,0.393,0.269,0.364,-0.113,-0.202,-0.058,-0.205,0.022,0.249,0.336,0.159,0.13,0.121,0.001,0.202,0.074,-0.3,-0.127,-0.083,-0.159,0.006,-0.13,-0.091,-0.252,0.184,-0.046,-0.16,-0.023,0.049,-0.191,0.141,0.044,-0.157,0.068,-0.004,0.22,0.079,-0.166,-0.058,-0.135,-0.186,-0.008,0.252,0.096,-0.062,0.015,0.011,-0.147,0.208,-0.086,-0.248,-0.162
ctx-lh-caudalanteriorcingulate,,,-0.191,0.195,-0.138,0.002,-0.136,-0.188,-0.002,-0.048,-0.07,0.123,-0.011,-0.298,0.001,0.073,-0.081,0.069,-0.015,0.089,0.099,0.161,0.106,0.018,0.073,-0.022,-0.083,0.226,-0.226,-0.028,-0.043,-0.129,-0.165,-0.065,-0.114,0.071,-0.061,0.071,-0.096,0.014,-0.046,-0.198,0.043,-0.037,-0.114,0.116,-0.072,-0.248,0.076,0.192,-0.058,-0.184,-0.199,0.172,0.079,0.206,0.121,0.112,-0.107,-0.161,0.002,0.19,-0.101,-0.026,-0.237,-0.049,-0.074,0.026
ctx-lh-caudalmiddlefrontal,,,,-0.237,0.088,-0.048,0.316,0.164,0.302,-0.107,0.318,-0.132,0.339,0.366,0.016,0.138,-0.001,0.41,0.224,-0.197,-0.104,0.031,-0.289,0.171,0.149,0.197,0.178,-0.098,0.079,0.008,0.174,0.239,-0.203,-0.313,0.001,-0.331,-0.317,-0.232,0.121,-0.099,0.254,-0.04,0.173,-0.034,0.091,-0.196,0.394,0.169,-0.049,-0.107,-0.29,0.357,0.011,-0.291,-0.031,-0.215,-0.319,0.142,0.272,-0.093,-0.032,-0.218,0.069,-0.376,0.026,0.349,-0.112,-0.297
ctx-lh-cuneus,,,,,0.178,0.156,-0.003,0.108,-0.229,0.077,-0.092,0.18,-0.051,-0.133,-0.019,-0.27,-0.069,-0.126,-0.097,0.318,-0.422,0.039,-0.19,-0.146,0.043,-0.073,0.031,0.146,-0.223,-0.134,-0.04,0.006,-0.177,-0.086,-0.054,0.125,-0.085,0.303,-0.065,0.208,0.05,-0.047,-0.223,-0.053,-0.087,0.268,-0.04,-0.067,0.028,-0.077,-0.173,-0.259,0.061,0.389,-0.315,0.136,-0.183,0.038,0.057,0.015,0.007,0.262,0.007,0.07,-0.047,0.017,-0.005,-0.01
ctx-lh-entorhinal,,,,,,0.066,0.149,0.171,0.024,0.312,0.021,0.419,0.358,-0.122,0.024,0.305,-0.195,-0.089,-0.093,0.381,0.241,0.021,0.139,0.252,0.103,-0.016,0.02,0.241,-0.127,-0.196,0.039,-0.119,-0.073,-0.188,-0.045,-0.072,-0.067,-0.02,-0.209,0.004,-0.116,0.247,0.025,0.1,-0.121,0.098,0.196,-0.035,0.162,0.016,-0.074,-0.133,-0.207,0.139,-0.186,-0.082,-0.008,0.101,0.09,-0.091,-0.103,0.061,-0.254,-0.096,0.083,-0.189,-0.097,-0.186
ctx-lh-fusiform,,,,,,,-0.161,0.205,0.109,0.346,-0.134,0.152,-0.08,-0.06,0.369,0.17,-0.169,-0.18,-0.06,0.078,0.047,-0.04,0.086,-0.119,-0.069,-0.211,-0.075,0.163,-0.22,-0.072,0.272,-0.049,-0.115,-0.259,-0.202,-0.058,0.021,0.198,0.204,0.291,-0.27,0.206,0.055,0.166,-0.137,0.12,-0.076,-0.189,0.096,0.178,-0.186,-0.093,-0.066,0.174,-0.041,-0.036,-0.022,0.003,-0.151,-0.19,-0.292,0.188,-0.122,-0.183,0.093,-0.098,0.108,-0.229
ctx-lh-inferiorparietal,,,,,,,,-0.166,0.2,-0.297,0.025,-0.256,-0.091,0.189,-0.094,-0.05,0.253,-0.053,0.15,-0.118,-0.063,0.048,-0.111,0.048,-0.006,0.093,0.304,-0.06,0.218,0.063,0.238,0.401,0.016,0.07,0.164,-0.179,0.039,0.071,0.368,-0.123,-0.106,-0.102,0.065,-0.256,-0.201,-0.205,-0.112,0.221,-0.175,0.218,0.002,0.118,0.234,-0.048,0.196,0.112,-0.082,-0.046,-0.008,0.144,0.235,-0.118,0.389,-0.009,-0.05,0.3,0.273,0.013
ctx-lh-inferiortemporal,,,,,,,,,0.094,-0.001,-0.071,0.12,-0.107,0.183,0.479,0.025,0.065,-0.015,0.106,-0.058,0.116,-0.01,0.215,0.072,0.114,0.003,-0.012,-0.029,0.029,-0.086,0.221,-0.015,0.015,0.056,0.014,-0.173,0.174,0.147,0.218,0.253,-0.154,0.13,0.093,0.053,-0.198,0.185,-0.198,-0.183,0.325,0.026,0.006,0.079,-0.166,0.101,0.03,-0.035,0.046,0.052,-0.152,0.096,-0.069,-0.081,-0.089,-0.24,-0.09,-0.205,0.105,0.05
ctx-lh-isthmuscingulate,,,,,,,,,,0.154,0.085,-0.026,0.084,0.176,-0.073,-0.141,0.237,0.256,0.339,0.034,-0.344,0.06,-0.301,-0.015,0.091,-0.013,0.253,-0.084,0.1,-0.161,-0.058,0.12,-0.11,-0.168,-0.048,-0.082,0.242,-0.271,0.027,0.104,0.105,0.084,0.056,-0.004,0.055,-0.11,0.06,0.207,0.117,-0.076,0.029,0.213,0.143,-0.084,-0.245,-0.116,-0.11,-0.241,0.139,-0.05,0.064,-0.037,0.129,-0.253,-0.17,0.187,0.157,-0.095
ctx-lh-lateraloccipital,,,,,,,,,,,-0.208,0.107,-0.192,0.148,0.588,-0.164,0.035,-0.236,-0.005,-0.065,0.033,0.031,-0.105,-0.098,-0.191,-0.095,0.093,-0.13,0.011,-0.144,0.311,0.243,0.064,0.059,-0.253,-0.102,-0.181,0.031,0.5,0.213,-0.19,0.018,0.121,-0.077,-0.227,0.055,-0.084,-0.04,0.224,0.018,-0.278,-0.196,-0.092,0.05,-0.159,0.162,-0.275,-0.054,-0.141,-0.067,-0.06,-0.04,-0.072,-0.089,-0.03,0.122,0.086,-0.121
ctx-lh-lateralorbitofrontal,,,,,,,,,,,,-0.127,0.222,0.091,0.043,0.092,0.012,-0.082,0.115,-0.144,0.185,-0.037,0.056,0.052,0.261,-0.145,0.187,-0.084,0.125,-0.118,-0.147,-0.004,-0.146,-0.157,0.283,0.064,0.024,-0.175,0.083,-0.043,-0.029,-0.211,0.027,-0.136,0.116,-0.157,0.078,0.125,0.09,-0.013,0.074,0.06,-0.002,-0.285,0.067,-0.28,0.059,-0.036,0.113,-0.217,0.099,-0.227,0.323,-0.107,-0.134,-0.031,0.111,-0.06
ctx-lh-lingual,,,,,,,,,,,,,-0.285,-0.016,0.158,-0.155,0.187,-0.035,0.011,0.151,-0.081,0.185,0.147,-0.181,-0.139,0.034,0.058,0.017,-0.14,-0.007,0.068,0.159,-0.144,0.038,-0.036,0.077,-0.212,0.264,0.386,0.124,-0.296,0.02,-0.051,-0.125,-0.178,0.181,-0.251,-0.175,0.039,0.112,-0.146,-0.273,0.036,0.35,-0.004,0.187,0.022,-0.144,-0.243,-0.051,-0.138,0.119,-0.042,0.056,-0.026,0.16,0.108,0.078
ctx-lh-medialorbitofrontal,,,,,,,,,,,,,,0.003,-0.015,-0.123,0.387,0.023,0.217,-0.089,0.169,0.216,0.169,0.009,0.066,-0.188,0.011,-0.174,0.421,0.039,-0.08,0.167,0.188,0.178,0.094,0.075,0.185,-0.062,0.386,0.099,-0.086,-0.244,0.086,-0.124,0.18,-0.3,-0.095,0.127,-0.029,-0.153,0.182,0.037,0.118,-0.278,0.056,-0.051,0.092,-0.052,0.076,-0.191,-0.025,-0.142,0.462,0.041,0.068,0.114,0.193,0.122
ctx-lh-middletemporal,,,,,,,,,,,,,,,-0.168,0.187,-0.037,0.074,0.013,0.034,-0.087,0.007,-0.302,0.166,0.021,0.016,0.076,0.08,-0.196,-0.052,0.037,-0.017,-0.162,-0.169,-0.087,-0.292,0.136,-0.196,-0.178,0.067,0.021,0.129,0.002,0.131,0.061,0.093,-0.052,0.037,-0.028,0.058,-0.162,0.325,-0.076,-0.041,-0.102,-0.034,-0.131,0.08,-0.052,0.073,0.064,0.033,-0.092,-0.169,-0.038,0.036,-0.036,-0.277
