,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.025,0.041,-0.04,-0.082,-0.175,-0.007,-0.059,-0.085,-0.013,-0.028,-0.069,-0.119,-0.038,-0.136,-0.103,0.065,-0.033,-0.052,0.05,-0.1,0.128,-0.076,0.044,-0.069,0.017,-0.07,0.018,-0.115,0.05,0.007,-0.122,-0.085,0.017,-0.042,0.049,0.025,0.018,-0.054,-0.122,-0.002,-0.038,-0.086,0.068,0.016,-0.073,-0.107,-0.059,-0.22,-0.12,0.103,0.008,0.063,0.081,-0.103,0.093,-0.027,0.037,-0.029,0.061,-0.069,0.002,-0.151,0.042,0.006,-0.037,-0.045,0.035
ctx-lh-caudalanteriorcingulate,,,-0.075,-0.001,0.022,0.088,-0.05,0.049,-0.157,0.096,0.004,-0.002,-0.076,-0.064,-0.051,0.272,-0.122,0.01,-0.028,-0.12,0.137,-0.08,0.14,-0.04,-0.098,-0.029,-0.034,0.135,0.056,-0.021,-0.078,0.003,-0.005,-0.082,0.011,0.001,-0.029,-0.055,-0.065,0.055,-0.053,0.024,-0.174,0.029,0.049,-0.001,-0.031,-0.038,-0.045,0.246,-0.029,-0.013,-0.026,-0.121,0.149,-0.055,0.141,-0.043,-0.045,-0.017,0.019,0.114,0.065,0.012,0.001,0.013,-0.031,-0.032
ctx-lh-caudalmiddlefrontal,,,,-0.011,0.077,-0.056,0.005,-0.077,0.063,0.033,0.025,-0.048,0.118,0.078,-0.052,-0.02,0.04,0.029,0.027,-0.064,-0.027,0.093,-0.089,-0.018,0.02,0.071,0.099,-0.039,0.1,0.027,0.04,0.179,-0.068,-0.032,0.033,-0.053,0.002,0.035,0.091,-0.076,-0.006,-0.035,0.102,0.008,0.06,-0.027,0.097,0.053,-0.077,-0.079,-0.039,0.11,0.101,-0.064,-0.007,0.046,-0.055,-0.004,0.022,0.074,0.042,-0.062,0.066,-0.055,-0.019,0.066,-0.048,-0.069
ctx-lh-cuneus,,,,,0.024,-0.067,0.02,-0.006,0.018,0.046,0.001,0.06,-0.033,-0.019,0.017,-0.111,-0.159,0.004,-0.056,0.182,-0.056,-0.03,-0.095,-0.076,0.037,-0.025,0.072,-0.048,-0.097,-0.057,0.167,-0.042,0.05,-0.099,-0.127,-0.01,-0.011,-0.114,-0.03,-0.105,0.048,-0.04,-0.017,-0.002,-0.016,0.05,0.057,-0.031,0.026,-0.113,-0.093,0.014,-0.085,0.132,-0.085,-0.001,-0.068,0.015,0.065,-0.024,0.106,-0.05,-0.132,-0.039,0.087,-0.063,0.028,-0.035
ctx-lh-entorhinal,,,,,,-0.055,0.03,-0.128,-0.056,-0.012,0.004,0.017,0.001,-0.009,-0.134,0.004,-0.023,0.025,0.023,0.024,-0.001,-0.029,-0.064,0.05,0.099,0.078,0.008,0.067,-0.075,-0.011,0.055,-0.124,-0.055,0.014,-0.035,0.022,0.095,0.043,-0.093,-0.035,0.067,-0.084,-0.031,-0.039,-0.018,-0.036,-0.045,-0.019,-0.086,0.018,-0.029,-0.018,-0.008,-0.006,-0.036,-0.0,-0.104,0.048,0.108,0.077,0.06,0.037,-0.136,0.0,-0.035,-0.042,-0.059,-0.046
ctx-lh-fusiform,,,,,,,0.0,-0.007,-0.095,0.125,-0.006,-0.039,-0.024,-0.04,0.026,-0.072,-0.119,0.0,-0.063,0.072,-0.089,-0.019,-0.11,-0.057,0.1,-0.004,0.004,-0.03,-0.146,-0.056,0.098,-0.031,-0.07,0.004,-0.159,0.032,-0.036,-0.026,-0.148,0.025,0.057,-0.02,-0.064,0.136,-0.047,-0.038,-0.035,-0.045,-0.019,0.015,-0.066,-0.074,-0.124,0.061,-0.115,0.065,-0.098,-0.004,0.125,-0.042,0.044,-0.029,-0.203,0.006,0.021,-0.078,-0.042,-0.029
ctx-lh-inferiorparietal,,,,,,,,-0.038,0.085,0.062,-0.097,-0.01,0.06,-0.081,0.016,-0.083,-0.014,-0.063,-0.079,-0.026,-0.034,-0.027,-0.108,-0.028,-0.051,0.037,-0.067,0.015,-0.003,-0.057,0.022,0.09,0.042,-0.03,0.062,-0.078,0.036,0.076,0.056,0.03,0.068,0.03,0.122,0.07,-0.012,0.022,0.011,0.018,-0.001,-0.088,-0.013,0.041,0.021,-0.006,-0.03,0.018,-0.073,-0.011,-0.031,0.089,-0.04,-0.003,0.016,0.007,0.018,0.007,0.008,-0.017
ctx-lh-inferiortemporal,,,,,,,,,-0.004,-0.019,0.068,-0.019,0.162,-0.006,0.026,-0.012,0.013,-0.019,-0.053,0.022,-0.076,-0.009,-0.021,-0.108,0.099,-0.057,0.072,-0.036,0.099,-0.073,0.064,0.05,0.014,0.068,0.013,0.049,-0.02,0.044,-0.006,0.073,-0.021,-0.005,0.017,0.013,0.017,-0.006,0.048,0.017,0.049,0.034,0.009,-0.05,0.033,0.062,0.002,0.018,0.024,-0.062,0.035,-0.038,0.066,-0.003,0.03,0.009,-0.024,0.042,0.024,0.039
ctx-lh-isthmuscingulate,,,,,,,,,,0.051,-0.215,-0.06,-0.052,-0.066,0.072,-0.117,-0.057,-0.021,-0.093,-0.114,-0.096,-0.144,-0.184,0.05,-0.037,0.056,-0.063,0.009,-0.072,-0.118,-0.038,-0.009,-0.061,-0.183,-0.076,-0.142,0.046,0.036,0.004,-0.011,0.189,0.029,0.064,0.082,-0.048,-0.037,0.018,0.002,0.08,-0.144,-0.074,0.063,-0.062,-0.073,-0.097,-0.081,-0.15,0.03,-0.019,0.122,-0.027,-0.015,-0.054,-0.044,0.003,-0.071,-0.132,-0.178
ctx-lh-lateraloccipital,,,,,,,,,,,-0.062,0.081,-0.003,0.037,0.099,-0.09,-0.057,-0.102,-0.057,0.135,-0.009,0.046,-0.001,0.037,0.075,0.004,0.091,-0.006,-0.044,0.053,-0.001,-0.051,-0.05,0.058,-0.05,0.043,-0.022,0.126,-0.054,0.055,0.021,-0.08,0.032,0.014,-0.096,0.092,-0.008,-0.036,0.076,-0.049,0.009,-0.131,-0.068,0.116,-0.076,0.065,-0.025,0.073,0.081,-0.111,0.017,-0.03,-0.09,-0.022,-0.037,-0.017,-0.06,-0.011
