,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,-0.016,-0.018,-0.092,-0.074,-0.099,-0.015,-0.092,0.044,-0.038,-0.044,-0.086,-0.018,-0.001,-0.051,-0.088,-0.111,-0.003,-0.107,-0.013,-0.111,0.034,-0.095,-0.005,0.04,-0.088,-0.012,-0.067,-0.125,-0.048,0.03,-0.051,-0.119,-0.048,-0.188,-0.001,0.011,-0.089,-0.077,-0.135,-0.027,-0.062,0.037,-0.029,-0.054,-0.073,0.014,-0.098,-0.07,-0.091,-0.042,-0.062,-0.081,0.005,-0.152,0.042,-0.109,-0.019,0.037,-0.027,-0.015,-0.064,-0.171,-0.039,-0.039,-0.068,-0.08,-0.064
ctx-lh-caudalanteriorcingulate,,,0.058,0.013,-0.073,-0.047,0.041,-0.059,-0.043,0.067,0.033,-0.041,-0.052,-0.035,-0.081,0.125,0.029,0.039,0.026,-0.06,0.095,-0.062,0.108,0.058,-0.008,0.002,0.043,0.086,0.005,0.002,-0.048,-0.02,-0.009,-0.025,-0.099,-0.008,-0.01,0.015,-0.103,-0.058,-0.032,-0.09,-0.055,0.085,-0.038,-0.01,0.005,-0.054,-0.046,0.166,-0.048,0.021,-0.083,-0.071,0.123,-0.088,0.082,-0.003,0.004,-0.023,-0.043,0.095,0.005,-0.022,-0.018,-0.04,-0.036,-0.027
ctx-lh-caudalmiddlefrontal,,,,0.025,-0.007,-0.018,-0.025,-0.084,0.036,0.058,0.035,-0.007,0.018,-0.049,-0.097,0.0,0.054,0.009,-0.039,-0.003,-0.009,0.098,-0.025,0.042,0.08,0.031,0.064,-0.017,-0.037,0.022,0.022,-0.022,-0.017,0.069,-0.03,0.056,-0.048,0.056,-0.02,-0.007,-0.022,-0.062,0.017,0.069,0.039,0.02,0.025,-0.066,-0.045,-0.052,0.032,-0.012,0.049,-0.007,-0.008,0.102,-0.026,0.035,0.09,0.082,0.022,-0.003,-0.039,0.074,-0.012,-0.044,-0.019,0.043
ctx-lh-cuneus,,,,,-0.033,-0.089,0.044,-0.037,0.058,-0.007,0.008,-0.097,-0.034,-0.048,-0.062,-0.064,-0.001,0.007,-0.032,0.059,-0.113,0.092,-0.064,0.087,0.029,-0.006,0.005,0.051,-0.115,0.029,0.011,-0.037,-0.102,-0.078,-0.192,0.004,0.02,-0.099,0.001,-0.12,0.02,-0.1,0.037,0.006,-0.051,-0.09,0.008,-0.076,-0.042,-0.02,-0.059,-0.017,-0.071,0.046,-0.104,0.055,-0.091,0.054,0.049,0.01,-0.023,0.066,-0.124,-0.027,-0.025,-0.059,-0.08,-0.086
ctx-lh-entorhinal,,,,,,0.021,-0.061,0.016,-0.083,-0.021,-0.027,0.028,-0.025,-0.027,-0.019,-0.087,-0.047,-0.038,-0.054,0.017,-0.021,-0.085,-0.004,-0.083,-0.058,-0.073,-0.061,-0.042,-0.093,-0.085,0.002,-0.03,-0.101,-0.065,-0.075,-0.105,-0.045,-0.006,0.016,-0.006,-0.067,0.034,-0.073,-0.002,-0.043,0.03,-0.043,-0.06,-0.01,-0.073,-0.083,-0.057,-0.116,0.015,-0.036,-0.117,-0.028,-0.073,-0.03,-0.073,-0.102,-0.023,-0.073,-0.062,-0.022,-0.065,-0.065,-0.044
ctx-lh-fusiform,,,,,,,0.005,0.042,0.054,-0.073,-0.004,-0.083,0.039,0.024,-0.017,-0.049,-0.076,-0.015,-0.046,-0.045,-0.083,0.01,-0.091,0.019,0.018,-0.086,-0.047,-0.128,-0.068,-0.027,0.022,-0.018,-0.078,-0.07,-0.12,-0.082,-0.036,-0.081,-0.041,-0.216,-0.023,-0.084,0.051,-0.07,-0.022,-0.093,0.08,-0.042,0.001,-0.065,-0.074,-0.047,-0.058,-0.057,-0.082,0.021,-0.125,-0.008,0.04,-0.042,-0.065,-0.099,-0.085,-0.096,0.008,-0.077,-0.05,-0.087
ctx-lh-inferiorparietal,,,,,,,,0.013,0.017,0.094,0.061,0.022,-0.045,-0.058,-0.085,-0.031,0.007,0.053,-0.024,0.033,-0.029,0.049,-0.037,-0.029,-0.005,0.045,-0.053,0.016,-0.075,0.04,-0.004,-0.111,-0.045,0.029,-0.057,0.035,-0.018,0.048,-0.072,-0.049,-0.127,-0.059,-0.045,0.088,0.022,0.027,-0.026,-0.144,-0.062,-0.07,0.053,-0.002,0.049,0.036,-0.049,0.063,-0.041,-0.072,0.004,0.071,-0.057,0.033,-0.098,0.061,-0.032,-0.112,-0.029,0.016
ctx-lh-inferiortemporal,,,,,,,,,0.082,-0.002,-0.061,-0.006,0.03,-0.043,-0.003,-0.035,-0.102,-0.079,-0.102,-0.01,-0.07,-0.013,-0.057,0.046,0.017,-0.143,-0.075,-0.093,-0.082,-0.124,-0.007,-0.042,-0.088,-0.043,-0.091,-0.068,-0.048,-0.027,-0.047,-0.032,-0.017,-0.13,0.085,-0.01,-0.086,-0.012,0.051,-0.082,0.064,-0.071,-0.075,-0.114,-0.052,0.005,-0.034,0.004,-0.091,0.044,0.041,-0.079,-0.046,-0.067,-0.085,-0.106,-0.009,-0.058,-0.051,-0.054
ctx-lh-isthmuscingulate,,,,,,,,,,0.084,0.042,0.024,-0.165,-0.023,-0.102,-0.039,0.065,0.099,0.024,0.014,-0.028,-0.016,-0.005,-0.211,-0.154,0.04,-0.11,0.046,-0.004,0.06,-0.102,-0.073,-0.033,0.023,-0.011,-0.038,0.023,0.046,-0.056,0.032,-0.011,-0.017,-0.227,0.083,0.02,0.038,-0.119,-0.071,-0.016,-0.072,0.056,0.061,0.033,0.029,-0.046,-0.021,-0.034,-0.143,-0.122,0.055,-0.133,0.059,-0.036,0.042,-0.092,-0.118,-0.042,-0.006
ctx-lh-lateraloccipital,,,,,,,,,,,0.023,-0.003,0.036,0.037,0.006,-0.007,0.028,0.006,0.038,-0.003,-0.024,0.116,0.001,0.102,0.055,0.003,0.066,-0.005,-0.035,0.095,0.04,-0.061,0.023,0.031,-0.074,0.04,0.066,0.007,-0.06,-0.156,0.077,-0.102,0.094,-0.072,-0.014,-0.004,0.079,-0.01,-0.004,-0.01,0.053,-0.035,0.04,0.004,-0.028,0.116,-0.024,0.079,0.049,0.032,0.066,0.003,-0.039,0.013,0.046,-0.079,0.013,-0.01
