,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.198,-0.012,-0.022,0.099,-0.098,-0.128,-0.06,-0.02,0.072,-0.067,0.024,-0.099,-0.143,-0.117,-0.0,0.04,-0.037,-0.042,0.186,-0.04,0.142,-0.009,0.013,-0.017,0.008,0.013,0.007,-0.256,0.024,-0.097,-0.021,-0.083,0.146,-0.225,0.239,-0.074,0.05,-0.04,-0.126,-0.121,0.009,-0.057,0.079,-0.103,0.016,-0.111,-0.182,-0.167,-0.037,0.042,-0.058,0.066,0.156,-0.047,0.108,-0.011,0.02,0.022,0.067,-0.003,0.006,-0.288,0.003,-0.071,-0.027,0.013,0.094
ctx-lh-caudalanteriorcingulate,,,-0.08,0.037,-0.078,0.166,0.047,0.108,-0.059,0.103,-0.008,0.075,0.013,-0.029,0.068,0.185,0.021,-0.011,0.054,-0.052,0.214,-0.014,0.217,0.01,-0.063,-0.097,0.047,0.142,0.128,0.146,0.001,-0.153,-0.026,-0.024,0.13,0.066,-0.196,0.059,-0.145,0.121,-0.123,-0.024,-0.131,0.025,-0.028,0.095,-0.051,-0.072,0.062,0.246,-0.08,-0.215,-0.09,-0.053,0.208,-0.131,0.143,-0.067,-0.038,-0.236,-0.089,0.119,0.168,0.045,0.024,-0.126,0.047,-0.034
ctx-lh-caudalmiddlefrontal,,,,-0.027,0.131,0.003,0.039,0.009,0.197,-0.02,0.077,-0.003,0.105,0.049,0.149,0.051,-0.086,-0.002,-0.044,-0.066,-0.132,0.123,-0.117,0.161,-0.056,0.034,0.038,-0.011,-0.013,-0.062,0.022,0.096,-0.145,-0.033,-0.005,-0.068,-0.058,0.057,0.007,-0.011,0.028,0.003,0.203,-0.007,0.06,-0.015,0.095,-0.004,0.107,-0.098,-0.04,0.116,0.049,-0.074,-0.15,0.093,-0.143,0.229,-0.032,0.097,0.06,-0.045,-0.038,-0.037,0.007,0.051,-0.222,-0.005
ctx-lh-cuneus,,,,,-0.072,0.011,0.012,-0.017,-0.11,0.13,0.016,0.057,-0.036,-0.029,-0.016,-0.187,-0.02,-0.061,-0.054,0.245,-0.112,-0.058,-0.06,-0.12,0.026,-0.076,-0.002,0.0,-0.125,-0.028,0.12,-0.013,0.056,-0.106,-0.112,0.059,0.039,0.053,-0.03,0.014,0.081,-0.036,-0.105,0.069,0.073,0.116,0.007,0.005,0.027,-0.145,-0.013,0.002,-0.033,0.258,-0.147,0.006,-0.048,-0.108,0.054,-0.016,0.013,0.08,-0.062,-0.005,0.096,-0.136,-0.038,-0.052
ctx-lh-entorhinal,,,,,,0.023,-0.009,0.027,-0.017,-0.048,-0.026,-0.021,0.055,0.117,-0.017,0.044,0.14,0.053,0.117,-0.07,0.118,-0.025,0.072,-0.052,0.042,-0.026,0.016,-0.081,0.189,0.008,0.106,0.009,-0.089,0.026,-0.011,-0.089,0.03,-0.091,0.001,0.052,-0.075,-0.02,0.018,-0.129,-0.023,-0.081,0.028,-0.03,0.028,0.017,0.002,0.013,-0.027,-0.05,0.083,-0.058,0.062,-0.052,0.018,-0.091,-0.01,-0.149,0.072,-0.072,0.044,-0.042,0.019,-0.028
ctx-lh-fusiform,,,,,,,-0.134,-0.09,-0.047,0.079,0.117,0.066,0.09,-0.008,-0.037,-0.191,0.06,0.005,-0.01,0.146,-0.122,0.065,-0.101,-0.137,0.172,0.015,0.013,-0.18,0.028,-0.011,0.1,0.042,0.064,0.133,-0.102,0.151,0.103,0.02,-0.145,-0.092,-0.1,-0.082,-0.052,0.029,0.177,0.066,0.082,-0.07,-0.084,-0.142,0.023,0.065,-0.043,0.141,-0.117,0.164,-0.092,-0.078,0.236,0.127,0.123,-0.153,-0.116,-0.064,0.059,-0.072,0.1,0.096
ctx-lh-inferiorparietal,,,,,,,,-0.09,0.188,0.017,-0.056,-0.02,0.185,-0.002,-0.04,0.049,-0.057,-0.02,-0.007,0.005,-0.07,0.062,-0.113,0.06,0.127,0.01,0.036,-0.08,-0.069,-0.038,-0.022,0.082,0.003,0.006,-0.075,-0.029,-0.015,0.027,0.019,-0.066,0.024,-0.023,0.183,0.03,-0.107,-0.043,0.185,0.018,-0.102,-0.054,-0.023,0.099,0.004,-0.003,-0.146,0.128,-0.104,0.081,0.154,0.055,0.113,-0.117,-0.034,-0.046,-0.015,-0.014,0.002,-0.06
ctx-lh-inferiortemporal,,,,,,,,,0.043,-0.09,0.057,0.049,0.097,0.017,-0.006,-0.041,0.073,-0.005,-0.034,0.075,0.019,0.058,0.014,-0.079,0.121,0.051,0.047,-0.146,0.193,0.01,0.069,0.019,0.144,0.158,-0.057,0.058,0.032,-0.038,0.102,-0.091,-0.12,-0.028,0.047,-0.096,-0.019,-0.015,0.062,-0.016,-0.082,-0.01,-0.017,-0.007,-0.04,0.084,0.064,0.098,-0.003,-0.083,0.111,0.018,0.011,-0.168,0.032,-0.005,-0.043,-0.055,0.096,0.164
ctx-lh-isthmuscingulate,,,,,,,,,,0.134,-0.206,-0.148,0.029,0.084,-0.001,-0.032,-0.029,0.008,-0.065,-0.178,-0.115,-0.025,-0.084,0.031,0.074,-0.006,-0.023,-0.032,0.008,-0.12,-0.019,-0.079,-0.015,-0.142,-0.026,-0.083,0.033,-0.084,0.04,-0.047,0.154,0.019,0.054,0.133,-0.057,-0.166,0.139,0.069,-0.01,-0.059,-0.057,0.168,-0.032,-0.131,-0.169,-0.006,-0.096,-0.011,0.085,0.014,0.027,-0.186,0.054,-0.104,-0.049,-0.06,-0.012,-0.15
ctx-lh-lateraloccipital,,,,,,,,,,,0.028,0.127,0.071,0.133,0.062,-0.138,0.024,-0.107,-0.066,0.13,-0.08,0.091,-0.051,-0.021,0.252,-0.003,0.073,-0.145,0.032,0.069,0.009,-0.061,0.03,0.014,0.052,0.08,0.037,0.132,-0.175,0.002,0.021,-0.054,0.122,0.004,0.107,0.134,0.135,-0.006,0.086,-0.139,0.006,-0.036,-0.001,0.124,-0.083,0.157,-0.108,0.026,0.292,0.065,0.115,-0.155,-0.066,-0.068,-0.024,-0.062,0.116,-0.012
