,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,0.08,0.197,-0.014,-0.091,-0.202,0.087,0.229,0.102,0.054,0.134,-0.008,0.241,-0.189,-0.096,-0.036,0.043,-0.285,-0.171,-0.157,-0.05,-0.039,-0.259,0.117,0.214,0.16,-0.044,-0.053,-0.048,-0.031,-0.21,0.034,-0.149,-0.171
ctx-lh-frontal,,,-0.065,-0.012,-0.043,-0.101,0.064,0.097,0.027,0.055,0.044,-0.052,0.127,0.07,-0.209,0.023,0.016,-0.04,-0.24,-0.218,-0.089,-0.009,-0.185,-0.001,0.09,0.111,-0.078,-0.061,0.006,-0.022,-0.069,0.014,-0.012,-0.151
ctx-lh-inter_precentral,,,,-0.163,-0.033,-0.01,0.029,0.076,0.029,0.005,-0.03,-0.125,0.096,0.1,-0.145,-0.012,-0.056,-0.132,-0.353,-0.28,-0.08,-0.064,-0.081,0.024,0.113,0.053,-0.195,-0.032,-0.114,-0.056,-0.135,0.056,0.016,-0.199
ctx-lh-precentral,,,,,-0.058,0.057,-0.053,-0.113,-0.028,-0.022,-0.063,0.157,0.189,0.046,0.021,-0.168,0.274,-0.074,-0.094,0.016,0.013,-0.096,-0.064,0.055,-0.044,-0.103,-0.079,-0.065,0.026,-0.086,-0.002,0.176,-0.131,0.111
ctx-lh-postcentral,,,,,,-0.314,-0.055,-0.01,-0.005,0.069,0.112,0.105,0.26,-0.008,0.089,-0.123,0.316,-0.217,-0.206,0.009,0.076,0.009,-0.155,0.018,-0.045,-0.073,-0.081,-0.029,-0.047,-0.012,-0.053,0.125,-0.045,0.055
ctx-lh-inter_postcentral,,,,,,,-0.018,-0.115,-0.184,0.017,0.034,0.128,0.244,-0.086,0.036,-0.208,0.344,-0.182,-0.122,0.006,-0.059,-0.325,0.015,-0.042,-0.135,-0.175,-0.12,0.011,-0.032,-0.15,-0.093,0.315,-0.274,0.231
ctx-lh-parietal,,,,,,,,-0.029,-0.061,0.095,0.146,0.176,0.31,0.015,-0.048,-0.012,0.271,-0.043,0.039,0.136,0.023,-0.176,-0.12,0.146,0.06,0.015,0.087,0.019,0.07,0.004,-0.001,0.226,-0.006,0.159
ctx-lh-visuopsychic,,,,,,,,,0.11,-0.076,0.05,0.136,0.42,0.038,-0.154,0.217,0.094,-0.05,-0.132,-0.19,-0.029,-0.085,-0.228,-0.05,0.22,0.052,-0.225,-0.161,0.136,0.184,0.002,-0.101,0.234,-0.172
ctx-lh-visuosensory,,,,,,,,,,-0.197,0.021,0.035,0.452,-0.035,-0.222,0.138,0.111,-0.117,-0.174,-0.091,0.075,-0.092,-0.149,-0.003,-0.035,0.089,-0.248,-0.071,0.146,0.112,-0.017,-0.156,0.092,-0.045
ctx-lh-temporal,,,,,,,,,,,0.075,0.027,0.139,-0.034,-0.165,0.01,-0.003,-0.171,-0.122,-0.089,0.057,-0.005,-0.151,0.0,-0.079,-0.072,-0.256,-0.035,-0.081,0.02,-0.136,-0.024,-0.082,-0.11
