,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-prefrontal,,-0.234,-0.201,-0.266,-0.291,-0.283,-0.258,-0.181,-0.106,-0.34,-0.375,-0.187,-0.165,-0.276,-0.052,-0.302,0.013,-0.198,-0.036,-0.101,-0.319,-0.293,-0.247,-0.222,-0.256,-0.117,-0.181,-0.278,-0.354,-0.182,-0.244,-0.084,-0.303,0.003
ctx-lh-frontal,,,-0.43,-0.293,-0.274,-0.261,-0.375,-0.324,-0.196,-0.438,-0.505,-0.357,-0.173,-0.098,0.014,-0.295,-0.197,-0.15,0.037,-0.268,-0.376,-0.365,-0.228,-0.366,-0.363,-0.23,-0.345,-0.475,-0.55,-0.119,-0.069,-0.092,-0.212,-0.202
ctx-lh-inter_precentral,,,,-0.236,-0.163,-0.191,-0.187,-0.29,-0.244,-0.423,-0.492,-0.415,-0.264,-0.16,0.131,-0.37,-0.409,-0.163,-0.095,-0.237,-0.287,-0.27,-0.227,-0.212,-0.325,-0.239,-0.302,-0.446,-0.514,-0.179,-0.095,-0.005,-0.241,-0.359
ctx-lh-precentral,,,,,-0.371,-0.337,-0.031,-0.464,-0.429,-0.311,-0.501,-0.5,-0.313,-0.342,-0.013,-0.363,-0.556,-0.36,-0.188,-0.384,-0.391,-0.47,-0.377,-0.2,-0.451,-0.429,-0.332,-0.442,-0.463,-0.206,-0.339,-0.23,-0.367,-0.378
ctx-lh-postcentral,,,,,,-0.536,0.063,-0.372,-0.358,-0.132,-0.421,-0.414,-0.253,-0.25,0.101,-0.294,-0.333,-0.294,-0.102,-0.187,-0.447,-0.409,-0.391,-0.055,-0.401,-0.39,-0.16,-0.451,-0.395,-0.061,-0.286,-0.121,-0.311,-0.237
ctx-lh-inter_postcentral,,,,,,,-0.079,-0.4,-0.327,-0.201,-0.581,-0.513,-0.177,-0.457,0.1,-0.433,-0.474,-0.41,-0.184,-0.228,-0.42,-0.48,-0.327,-0.261,-0.424,-0.398,-0.271,-0.587,-0.536,-0.086,-0.447,-0.241,-0.387,-0.216
ctx-lh-parietal,,,,,,,,-0.27,-0.276,-0.165,-0.472,-0.543,-0.203,-0.327,0.049,-0.413,-0.39,-0.404,-0.309,-0.252,0.015,0.101,-0.091,-0.333,-0.276,-0.293,-0.326,-0.496,-0.484,-0.228,-0.375,-0.11,-0.266,-0.175
ctx-lh-visuopsychic,,,,,,,,,-0.215,0.062,-0.406,-0.304,-0.029,-0.279,0.175,-0.111,-0.353,-0.333,-0.317,-0.235,-0.36,-0.308,-0.253,-0.211,-0.206,-0.214,0.104,-0.437,-0.359,0.011,-0.28,0.046,-0.078,-0.21
ctx-lh-visuosensory,,,,,,,,,,0.049,-0.376,-0.273,-0.045,-0.254,0.223,-0.096,-0.186,-0.208,-0.163,-0.12,-0.3,-0.299,-0.301,-0.248,-0.221,-0.267,0.118,-0.365,-0.26,0.087,-0.187,0.069,-0.047,-0.079
ctx-lh-temporal,,,,,,,,,,,-0.429,-0.324,-0.225,-0.299,0.096,-0.163,-0.301,-0.352,-0.427,-0.201,-0.278,-0.127,-0.191,-0.144,-0.013,0.001,-0.208,-0.504,-0.331,-0.116,-0.267,0.112,-0.118,-0.165
