,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-bankssts,,0.017,0.023,-0.062,-0.019,-0.035,0.04,-0.029,0.127,-0.01,-0.002,-0.038,0.038,0.088,0.026,-0.096,-0.101,0.021,-0.082,0.023,-0.118,0.098,-0.12,0.054,0.093,-0.033,0.051,-0.058,-0.078,-0.04,0.082,0.013,-0.097,-0.045,-0.122,0.037,0.015,-0.074,-0.035,-0.065,0.041,0.018,0.109,0.007,-0.03,-0.02,0.033,-0.052,-0.048,-0.089,-0.053,-0.03,-0.076,0.056,-0.171,0.084,-0.117,0.021,0.067,-0.001,0.047,-0.075,-0.147,-0.043,-0.012,-0.017,-0.062,-0.058
ctx-lh-caudalanteriorcingulate,,,0.093,0.022,-0.078,-0.045,0.051,-0.045,-0.094,0.029,0.015,-0.043,-0.065,-0.02,-0.099,0.156,0.069,0.048,0.05,-0.08,0.117,-0.083,0.148,0.059,-0.023,0.043,0.079,0.108,0.042,-0.008,-0.034,0.024,0.009,-0.037,-0.072,0.011,-0.025,0.012,-0.112,-0.049,-0.058,-0.067,-0.097,0.064,-0.07,-0.022,-0.017,-0.058,-0.087,0.222,-0.054,0.049,-0.113,-0.092,0.15,-0.127,0.124,-0.035,-0.033,-0.018,-0.044,0.109,0.033,-0.032,-0.012,-0.03,-0.044,-0.065
ctx-lh-caudalmiddlefrontal,,,,0.033,0.012,-0.0,-0.046,-0.087,0.005,0.039,0.013,-0.011,0.01,-0.042,-0.094,-0.043,0.059,-0.006,-0.042,-0.009,-0.046,0.096,-0.048,-0.007,0.107,0.055,0.079,-0.056,-0.002,0.013,0.06,0.007,0.013,0.095,0.05,0.09,-0.103,0.037,0.022,0.031,-0.044,-0.03,-0.036,0.029,0.044,0.009,-0.035,-0.051,-0.063,-0.099,0.011,-0.022,0.06,-0.01,-0.04,0.081,-0.04,-0.034,0.074,0.078,0.026,-0.053,0.005,0.078,0.001,0.012,0.0,0.059
ctx-lh-cuneus,,,,,0.024,-0.063,0.094,0.01,0.106,0.006,0.022,-0.089,0.004,0.014,-0.007,-0.059,-0.024,-0.003,-0.051,0.072,-0.114,0.107,-0.07,0.145,0.057,0.032,0.04,0.082,-0.083,0.039,0.068,0.005,-0.07,-0.104,-0.194,0.037,0.0,-0.106,0.044,-0.067,0.05,-0.059,0.069,0.02,-0.045,-0.072,0.012,-0.011,-0.02,0.014,-0.109,0.01,-0.093,0.058,-0.136,0.04,-0.085,0.095,0.05,0.004,0.011,0.065,-0.109,-0.051,-0.027,-0.018,-0.054,-0.105
ctx-lh-entorhinal,,,,,,0.113,-0.029,0.097,-0.039,0.034,-0.003,0.102,0.019,0.044,0.041,-0.064,-0.05,-0.04,-0.049,0.077,0.003,-0.101,0.044,-0.056,-0.057,-0.072,-0.06,0.005,-0.02,-0.08,0.061,0.011,-0.049,-0.042,-0.0,-0.124,-0.017,0.039,0.047,0.089,-0.004,0.133,-0.017,0.059,-0.026,0.081,-0.029,0.032,0.048,-0.05,-0.086,-0.061,-0.142,0.067,-0.031,-0.135,0.025,-0.023,-0.035,-0.077,-0.098,0.032,0.001,-0.058,0.02,0.0,-0.024,-0.023
ctx-lh-fusiform,,,,,,,0.062,0.132,0.162,-0.062,0.032,-0.046,0.135,0.143,0.076,-0.023,-0.077,-0.001,-0.016,-0.009,-0.062,0.063,-0.089,0.102,0.082,-0.008,0.041,-0.117,0.059,-0.008,0.123,0.058,0.001,-0.06,-0.048,-0.092,-0.051,-0.061,0.015,-0.177,0.043,0.005,0.139,-0.059,0.029,-0.083,0.135,0.086,0.051,-0.035,-0.116,-0.031,-0.071,-0.03,-0.092,0.042,-0.121,0.063,0.057,-0.052,0.008,-0.118,0.02,-0.143,0.077,-0.001,0.027,-0.078
ctx-lh-inferiorparietal,,,,,,,,0.058,0.037,0.124,0.046,0.078,-0.036,-0.011,-0.014,-0.075,-0.011,0.038,-0.039,0.095,-0.052,0.036,-0.087,-0.054,-0.01,0.078,-0.045,0.027,-0.015,0.024,0.012,-0.101,0.007,0.03,0.018,0.064,-0.066,0.075,-0.021,-0.002,-0.115,-0.021,-0.042,0.087,0.046,0.052,-0.073,-0.118,-0.053,-0.125,0.038,0.003,0.088,0.1,-0.096,0.039,-0.061,-0.112,-0.034,0.071,-0.041,0.026,-0.081,0.062,-0.025,-0.065,0.02,0.022
ctx-lh-inferiortemporal,,,,,,,,,0.171,0.039,-0.056,0.072,0.129,0.025,0.104,-0.025,-0.118,-0.087,-0.086,0.05,-0.062,0.006,-0.056,0.102,0.071,-0.133,-0.012,-0.068,0.018,-0.147,0.093,0.03,-0.019,-0.005,-0.005,-0.053,-0.049,0.005,0.035,0.036,0.055,-0.059,0.165,0.009,-0.047,0.038,0.109,0.002,0.147,-0.063,-0.09,-0.118,-0.035,0.077,-0.016,0.012,-0.078,0.104,0.06,-0.095,0.034,-0.058,0.003,-0.139,0.066,0.027,0.014,-0.011
ctx-lh-isthmuscingulate,,,,,,,,,,0.137,0.031,0.077,-0.163,0.018,-0.034,-0.083,0.054,0.112,0.022,0.057,-0.071,-0.048,-0.03,-0.196,-0.171,0.069,-0.155,0.094,0.052,0.065,-0.108,-0.056,-0.009,0.002,0.056,-0.073,-0.015,0.077,-0.02,0.138,0.019,0.051,-0.194,0.116,0.04,0.081,-0.145,-0.024,0.01,-0.105,0.034,0.096,0.047,0.065,-0.1,-0.066,-0.05,-0.148,-0.161,0.044,-0.187,0.076,0.0,0.028,-0.109,-0.084,-0.025,-0.045
ctx-lh-lateraloccipital,,,,,,,,,,,-0.026,0.018,0.061,0.105,0.071,-0.031,-0.024,-0.051,-0.002,0.022,-0.035,0.141,-0.036,0.133,0.065,-0.014,0.097,-0.038,0.023,0.1,0.104,-0.041,0.064,-0.018,-0.047,0.024,0.025,0.007,-0.041,-0.141,0.092,-0.097,0.142,-0.091,-0.041,-0.011,0.066,0.049,-0.005,-0.033,0.002,-0.069,0.009,0.007,-0.066,0.119,-0.052,0.084,0.015,-0.027,0.105,-0.065,-0.019,-0.06,0.092,-0.077,0.044,-0.053
